company_id,canonical_name,isin,cin,nse_symbol,bse_scrip,aliases,sector,cap_band,status,alternate_isins,series_type,exchange
INE001B01026,KRBL Limited,INE001B01026,,KRBL,530813,KRBL|KRBL Ltd|KRBL Ltd.,,,active,,ordinary,both
INE001E01012,Premco Global Limited,INE001E01012,,PREMCO,530331,PREMCO|Premco Global Ltd|Premco Global Ltd.,,,active,,ordinary,both
INE001F01019,Modern Steels Limited,INE001F01019,,,513303,MDRNSTL|Modern Steels Ltd,,,active,,ordinary,bse
INE001O01029,Risa International Limited,INE001O01029,,,530251,RISAINTL|Risa International Ltd,,,active,,ordinary,bse
INE002A01018,Reliance Industries Limited,INE002A01018,,RELIANCE,500325,RELIANCE|Reliance Industries Ltd,,,active,,ordinary,both
INE002B01016,MADALA HOLDINGS LIMITED,INE002B01016,,,532344,MADALA|Madala Holdings Ltd,,,active,,ordinary,bse
INE002E01010,Sar  Auto Products Limited,INE002E01010,,,538992,SAPL|SAR Auto Products Ltd,,,active,,ordinary,bse
INE002L01015,SJVN Limited,INE002L01015,,SJVN,533206,SJVN|SJVN LIMITED|SJVN Ltd,,,active,,ordinary,both
INE002S01010,Mahanagar Gas Limited,INE002S01010,,MGL,539957,MGL|Mahanagar Gas Ltd,,,active,,ordinary,both
INE003A01024,Siemens Limited,INE003A01024,,SIEMENS,500550,SIEMENS|Siemens Ltd|Siemens Ltd.,,,active,,ordinary,both
INE003B01014,Inter State Oil Carrier Ltd,INE003B01014,,,530259,INTSTOIL,,,active,,ordinary,bse
INE003F01015,Muller & Phipps (India) Ltd.,INE003F01015,,,501477,MULLER|Muller & Phipps India Ltd,,,active,,ordinary,bse
INE004A01022,Protean eGov Technologies Limited,INE004A01022,,PROTEAN,544021,PROTEAN|Protean eGov Technologies Ltd,,,active,,ordinary,both
INE004C01028,Gujarat Cotex Ltd,INE004C01028,,,514386,GUJCOTEX,,,active,,ordinary,bse
INE004E01016,Span Divergent Limited,INE004E01016,,,524727,SDL|Span Divergent Ltd,,,active,,ordinary,bse
INE004Z01011,Mac Hotels Limited,INE004Z01011,,,541973,MACH|Mac Hotels Ltd,,,active,,ordinary,bse
INE005B01027,Avantel Limited,INE005B01027,,AVANTEL,532406,AVANTEL|Avantel Ltd,,,active,,ordinary,both
INE005C01017,RTS Power Corporation Limited,INE005C01017,,RTSPOWR,531215,RTS Power Corporation Ltd|RTS Power Corporation Ltd.|RTSPOWR,,,active,,ordinary,both
INE005E01013,Ekansh Concepts Limited,INE005E01013,,,531364,EKANSH|Ekansh Concepts Ltd,,,active,,ordinary,bse
INE005G01026,Deep Health AI India Limited,INE005G01026,,,539559,DEEPAI|Deep Health AI India Ltd,,,active,,ordinary,bse
INE005I01014,AMD Industries Limited,INE005I01014,,AMDIND,532828,AMD Industries Ltd|AMDIND|AMDMET,,,active,,ordinary,both
INE006C01015,K.Z.Leasing & Finance Ltd.,INE006C01015,,,511728,KZ Leasing & Finance Ltd|KZLFIN,,,active,,ordinary,bse
INE006F01018,N.B. Footwear Ltd.,INE006F01018,,,523242,NB Footwear Ltd|NBFOOT,,,active,,ordinary,bse
INE006I01046,Astral Limited,INE006I01046,,ASTRAL,532830,ASTRAL|ASTRAL LIMITED|Astral Ltd,,,active,,ordinary,both
INE006Z01016,Arvee Laboratories (India) Limited,INE006Z01016,,ARVEE,,,,,active,,ordinary,nse
INE007A01025,Crisil Limited,INE007A01025,,CRISIL,500092,CRISIL|CRISIL Ltd.|Crisil Ltd,,,active,,ordinary,both
INE007B01023,Geojit Financial Services Limited,INE007B01023,,GEOJITFSL,532285,GEOJIT|GEOJITBNPP|GEOJITFSL|Geojit Financial Services Ltd,,,active,,ordinary,both
INE007C01021,Indrayani Biotech Ltd.,INE007C01021,,,526445,INDRANIB|Indrayani Biotech Ltd,,,active,,ordinary,bse
INE007G01014,Mahasagar Travels Ltd.,INE007G01014,,,526795,MHSGRMS|Mahasagar Travels Ltd,,,active,,ordinary,bse
INE007N01010,Fedbank Financial Services Limited,INE007N01010,,FEDFINA,544027,FEDFINA|Fedbank Financial Services Ltd,,,active,,ordinary,both
INE008A01015,IDBI Bank Limited,INE008A01015,,IDBI,500116,IDBI|IDBI Bank Ltd,,,active,,ordinary,both
INE008B01013,Aimco Pesticides Ltd.,INE008B01013,,,524288,AIMCOPEST|Aimco Pesticides Ltd,,,active,,ordinary,bse
INE008C01011,Royale Manor Hotels & Industries Lt,INE008C01011,,,526640,RAYALEMA|Royale Manor Hotels & Industries Ltd,,,active,,ordinary,bse
INE008N01018,Tirth Plastic Ltd.,INE008N01018,,,526675,TIRTPLS|Tirth Plastic Ltd,,,active,,ordinary,bse
INE009A01021,Infosys Limited,INE009A01021,,INFY,500209,INFOSYSTCH|INFY|Infosys Ltd,,,active,,ordinary,both
INE009C01019,Sri KPR Industries Limited,INE009C01019,,SRIKPRIND,514442,SRIKPRIND|Sri KPR Industries Ltd,,,active,,ordinary,both
INE009U01011,Ghushine Fintrrade Ocean Limited,INE009U01011,,,539864,GHUSHINE|Ghushine Fintrrade Ocean Ltd,,,active,,ordinary,bse
INE00CA01015,TREJHARA SOLUTIONS LIMITED,INE00CA01015,,TREJHARA,542233,TREJHARA|Trejhara Solutions Limited|Trejhara Solutions Ltd,,,active,,ordinary,both
INE00CE01017,Shree Vasu Logistics Limited,INE00CE01017,,SVLL,,,,,active,,ordinary,nse
INE00CX01017,Mahip Industries Limited,INE00CX01017,,,542503,MAHIP|Mahip Industries Ltd,,,active,,ordinary,bse
INE00E101023,Bikaji Foods International Limited,INE00E101023,,BIKAJI,543653,BIKAJI|Bikaji Foods International Ltd,,,active,,ordinary,both
INE00EM01016,Megastar Foods Limited,INE00EM01016,,MEGASTAR,541352,MEGASTAR|Megastar Foods Ltd,,,active,,ordinary,both
INE00EV01017,Hariom Pipe Industries Limited,INE00EV01017,,HARIOMPIPE,543517,HARIOMPIPE|Hariom Pipe Industries Ltd,,,active,,ordinary,both
INE00F201020,Prudent Corporate Advisory Services Limited,INE00F201020,,PRUDENT,543527,PRUDENT|Prudent Corporate Advisory Services Ltd,,,active,,ordinary,both
INE00FF01025,Acutaas Chemicals Limited,INE00FF01025,,ACUTAAS,543349,ACUTAAS|ACUTAAS CHEMICALS LIMITED|AMIORG|Acutaas Chemicals Ltd,,,active,,ordinary,both
INE00FM01013,B&A Packaging India Limited,INE00FM01013,,,523186,B&A Packaging India Ltd|BAPACK,,,active,,ordinary,bse
INE00GK01023,Yash Highvoltage Limited,INE00GK01023,,,544310,YASHHV|Yash Highvoltage Ltd,,,active,,ordinary,bse
INE00GO01025,LEAP India Limited,INE00GO01025,,LEAPIND,544865,LEAP|LEAP India Ltd|LEAPIND,,,active,,ordinary,both
INE00H001014,Swiggy Limited,INE00H001014,,SWIGGY,544285,SWIGGY|SWIGGY LIMITED|Swiggy Ltd,,,active,,ordinary,both
INE00HZ01011,BN Agrochem Limited,INE00HZ01011,,BNAGROCHEM,526125,BN AGROCHEM LIMITED|BN Agrochem Ltd|BNAGROCHEM,,,active,,ordinary,both
INE00IK01029,ShreeOswal Seeds And Chemicals Limited,INE00IK01029,,OSWALSEEDS,,,,,active,,ordinary,nse
INE00IN01015,Stove Kraft Limited,INE00IN01015,,STOVEKRAFT,543260,STOVE KRAFT LIMITED|STOVEKRAFT|Stove Kraft Ltd,,,active,,ordinary,both
INE00IT01020,Milky Mist Dairy Food Limited,INE00IT01020,,MILKYMIST,544868,MILKYMIST|Milky Mist Dairy Food Ltd,,,active,,ordinary,both
INE00IY01012,Deep Polymers Limited,INE00IY01012,,DEEP,541778,DEEP|Deep Polymers Ltd,,,active,,ordinary,both
INE00KV01022,Rajnandini Metal Limited,INE00KV01022,,RAJMET,,,,,active,,ordinary,nse
INE00LM01029,SONAM LIMITED,INE00LM01029,,SONAMLTD,,SONAMCLOCK,,,active,,ordinary,nse
INE00LO01017,Craftsman Automation Limited,INE00LO01017,,CRAFTSMAN,543276,CRAFTSMAN|Craftsman Automation Ltd,,,active,,ordinary,both
INE00M201021,Sterling and Wilson Renewable Energy Limited,INE00M201021,,SWSOLAR,542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED|SWSOLAR|Sterling and Wilson Renewable Energy Ltd,,,active,,ordinary,both
INE00M901018,Interarch Building Solutions Limited,INE00M901018,,INTERARCH,544232,INTERARCH|Interarch Building Solutions Ltd,,,active,,ordinary,both
INE00OQ01016,Dharmaj Crop Guard Limited,INE00OQ01016,,DHARMAJ,543687,DHARMAJ|Dharmaj Crop Guard Ltd,,,active,,ordinary,both
INE00PV01013,Ahlada Engineers Limited,INE00PV01013,,AHLADA,,,,,active,,ordinary,nse
INE00Q601028,Studds Accessories Limited,INE00Q601028,,STUDDS,544599,STUDDS|Studds Accessories Ltd,,,active,,ordinary,both
INE00Q901014,S. M. Gold Limited,INE00Q901014,,,542034,S. M. Gold Ltd|SMGOLD,,,active,,ordinary,bse
