sha256,company_id,cin,fy_end,doc_kind,cap_band,exchange,total_pages,path
dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4,INE081A01020,,2012,digital,large,both,252,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\dc\0e\dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4.pdf
6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9,INE009A01021,,2011,digital,large,both,214,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\63\11\6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9.pdf
39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,INE002A01018,,2013,digital,large,both,228,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\39\f0\39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd.pdf
80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d,INE467B01029,,2010,mixed,large,both,187,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\80\cc\80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d.pdf
b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76,INE213A01029,,2013,mixed,large,both,147,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\b8\0d\b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76.pdf
c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c,INE522F01014,,2012,scanned,large,both,234,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\c9\f6\c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c.pdf
08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70,INE114A01011,,2011,digital,mid,both,128,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\08\c7\08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70.pdf
b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d,INE257A01026,,2012,mixed,mid,both,284,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\b5\a2\b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d.pdf
c1bc59575b9407e17e8d266464ec2e92c7eee600744abd5494089f4dcc4207c8,INE006C01015,,2010,digital,micro,bse,26,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\c1\bc\c1bc59575b9407e17e8d266464ec2e92c7eee600744abd5494089f4dcc4207c8.pdf
36d04a8c986ba4e1d1df3bb63d855238a4fdba2923b17829880dfc01c9a25b5e,INE004E01016,,2010,digital,micro,bse,84,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\36\d0\36d04a8c986ba4e1d1df3bb63d855238a4fdba2923b17829880dfc01c9a25b5e.pdf
