n_double_annotated_units,observed_proportion,wilson95_low,wilson95_high,half_width
10,0.700,0.397,0.892,0.248
10,0.800,0.490,0.943,0.227
10,0.900,0.596,0.982,0.193
10,1.000,0.722,1.000,0.139
20,0.700,0.481,0.855,0.187
20,0.800,0.584,0.919,0.168
20,0.900,0.699,0.972,0.137
20,0.950,0.764,0.991,0.114
30,0.700,0.521,0.833,0.156
30,0.800,0.627,0.905,0.139
30,0.900,0.744,0.965,0.111
30,0.933,0.787,0.982,0.097
40,0.700,0.546,0.819,0.137
40,0.800,0.652,0.895,0.121
40,0.900,0.769,0.960,0.095
40,0.950,0.835,0.986,0.076
50,0.700,0.562,0.809,0.123
50,0.800,0.670,0.888,0.109
50,0.900,0.786,0.957,0.085
50,0.960,0.865,0.989,0.062
75,0.693,0.582,0.786,0.102
75,0.800,0.696,0.875,0.089
75,0.907,0.820,0.954,0.067
75,0.947,0.871,0.979,0.054
100,0.700,0.604,0.781,0.088
100,0.800,0.711,0.867,0.078
100,0.900,0.826,0.945,0.060
100,0.950,0.888,0.978,0.045
150,0.700,0.622,0.768,0.073
150,0.800,0.729,0.856,0.064
150,0.900,0.842,0.938,0.048
150,0.947,0.898,0.973,0.037
194,0.701,0.633,0.761,0.064
194,0.799,0.737,0.849,0.056
194,0.902,0.852,0.936,0.042
194,0.948,0.908,0.972,0.032
