company_id,canonical_name,isin,cin,nse_symbol,bse_scrip,aliases,sector,cap_band,status,alternate_isins,series_type,exchange,cap_band_current
INE002A01018,Reliance Industries Limited,INE002A01018,,RELIANCE,500325,RELIANCE|Reliance Industries Ltd,,large,active,,ordinary,both,large
INE009A01021,Infosys Limited,INE009A01021,,INFY,500209,INFOSYSTCH|INFY|Infosys Ltd,,large,active,,ordinary,both,large
INE040A01034,HDFC Bank Limited,INE040A01034,,HDFCBANK,500180,HDFC Bank Ltd|HDFC Bank Ltd.|HDFCBANK,,large,active,,ordinary,both,large
INE044A01036,Sun Pharmaceutical Industries Limited,INE044A01036,,SUNPHARMA,524715,SUNPHARMA|Sun Pharmaceutical Industries Ltd|Sun Pharmaceutical Industries Ltd.,,large,active,,ordinary,both,large
INE081A01020,Tata Steel Limited,INE081A01020,,TATASTEEL,500470,TATA STEEL LIMITED|TATASTEEL|TISCO|Tata Steel Ltd,,large,active,,ordinary,both,large
INE154A01025,ITC Limited,INE154A01025,,ITC,500875,ITC|ITC Ltd,,large,active,,ordinary,both,large
INE002L01015,SJVN Limited,INE002L01015,,SJVN,533206,SJVN|SJVN LIMITED|SJVN Ltd,,mid,active,,ordinary,both,mid
INE006I01046,Astral Limited,INE006I01046,,ASTRAL,532830,ASTRAL|ASTRAL LIMITED|Astral Ltd,,mid,active,,ordinary,both,mid
INE007A01025,Crisil Limited,INE007A01025,,CRISIL,500092,CRISIL|CRISIL Ltd.|Crisil Ltd,,mid,active,,ordinary,both,mid
INE151A01013,Tata Communications Limited,INE151A01013,,TATACOMM,500483,TATACOMM|Tata Communications Ltd|VSNL,,mid,active,,ordinary,both,mid
INE171A01029,The Federal Bank  Limited,INE171A01029,,FEDERALBNK,500469,FEDERALBNK|Federal Bank Ltd|Federal Bank Ltd.,,mid,active,,ordinary,both,mid
INE226A01021,Voltas Limited,INE226A01021,,VOLTAS,500575,VOLTAS|Voltas Ltd|Voltas Ltd.,,mid,active,,ordinary,both,mid
INE761H01022,Page Industries Limited,INE761H01022,,PAGEIND,532827,PAGEIND|Page Industries Ltd|Page Industries Ltd.,,mid,active,,ordinary,both,mid
INE797F01020,Jubilant Foodworks Limited,INE797F01020,,JUBLFOOD,533155,JUBLFOOD|Jubilant FoodWorks Ltd,,mid,active,,ordinary,both,mid
INE002S01010,Mahanagar Gas Limited,INE002S01010,,MGL,539957,MGL|Mahanagar Gas Ltd,,small,active,,ordinary,both,small
