document_id,issuer,company_id,fiscal_year,pdf_sha256,challenge_reason,conditions_covered
INE009A01021_2024,Infosys Limited,INE009A01021,2024,b0a9bb9e802aff5f09733b8c78c88e9878732ac46e0fb29754c6da87ad47326a,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure; unusual_heading,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure; unusual_heading
INE009A01021_2025,Infosys Limited,INE009A01021,2025,6224d11244d3f44f7e95901428a8ff23164f383cd1960e02a47483c48612a3c5,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy; unusual_heading,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy; unusual_heading
INE002L01015_2024,SJVN Limited,INE002L01015,2024,730233fd582027ea7c09a53e3df0aee73afc2949e38cbbf8c6f852f9681fe75f,legacy_font; Devanagari; mixed_page_sizes,legacy_font; Devanagari; mixed_page_sizes
INE002L01015_2025,SJVN Limited,INE002L01015,2025,1070a70a65c9f05df0de48a7a7484cd1adf6eddd51803209aad362b912db7406,hidden_text; Devanagari; mixed_page_sizes,hidden_text; Devanagari; mixed_page_sizes
INE00FF01025_2015,Acutaas Chemicals Limited,INE00FF01025,2015,ad5579d7193f5bff7e97d9e05e7711e0b030fa42fb874971032c13a0ef84ca0c,degenerate_short_document,degenerate_short_document
INE00LO01017_2015,Craftsman Automation Limited,INE00LO01017,2015,7026f85eaacc0f30795ed78351afdeb6c3637cdf4b460cf91d5acaa8f3c2a0fd,degenerate_short_document,degenerate_short_document
INE009A01021_2018,Infosys Limited,INE009A01021,2018,e7c871f5fd43287bbaa1627774e509472ae44372075a6179135a8fd80dd487d7,hidden_text; vector_text_pages; mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure,hidden_text; vector_text_pages; mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure
INE009A01021_2017,Infosys Limited,INE009A01021,2017,5378aa22c774a2be796fbf6490844f0fc1fd31632d5b149897894614cc6dfbf7,mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure,mixed_orientation; mixed_page_sizes; deep_hierarchy; annexure
INE002A01018_2018,Reliance Industries Limited,INE002A01018,2018,3c12799b657541213f47910b4326952652cdc6ee53ec593e8a959f933e2ae0f3,scanned; legacy_font; hidden_text; mixed_page_sizes,scanned; legacy_font; hidden_text; mixed_page_sizes
INE040A01034_2024,HDFC Bank Limited,INE040A01034,2024,fcd7ef37de26997fed3bcf2b7cfb9eb90f08d4e2617f5f3f967a1ac621c2a73e,hidden_text; mixed_page_sizes; deep_hierarchy; annexure,hidden_text; mixed_page_sizes; deep_hierarchy; annexure
INE009A01021_2012,Infosys Limited,INE009A01021,2012,7b7beda2e37b28d73a39a4250118c8ab04894fd7440a6abb6de203aede9eb576,mixed_orientation; mixed_page_sizes; annexure,mixed_orientation; mixed_page_sizes; annexure
INE002L01015_2012,SJVN Limited,INE002L01015,2012,5e0a412d4a192774c403daa7956fee178fa3465078f1503e34d34d22003fce51,scanned; mixed_page_sizes,scanned; mixed_page_sizes
INE003B01014_2011,Inter State Oil Carrier Ltd,INE003B01014,2011,edc9a15f53d68ac648fad9db5afc2d47906021f98b7a5e3085f8858450075a66,scanned; mixed_page_sizes,scanned; mixed_page_sizes
INE004C01028_2024,Gujarat Cotex Ltd,INE004C01028,2024,2077b668cbc7290b91420f4a49abfb0585df84bddfdbc03cd94fac8bc6412914,scanned; mixed_page_sizes,scanned; mixed_page_sizes
INE009A01021_2013,Infosys Limited,INE009A01021,2013,a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178,scanned,scanned
INE761H01022_2018,Page Industries Limited,INE761H01022,2018,caae2c5d920664fb02ac91e33083635ee91b3671f03a8e73ca63990bd6c4dfc8,OCR_layer; mixed_orientation; mixed_page_sizes; deep_hierarchy,OCR_layer; mixed_orientation; mixed_page_sizes; deep_hierarchy
INE006I01046_2018,Astral Limited,INE006I01046,2018,209b84f6166675b8879329e7e5a56c0a15d834c6fe97e2f572aeee4fe971bc56,OCR_layer; hidden_text; vector_text_pages; mixed_page_sizes,OCR_layer; hidden_text; vector_text_pages; mixed_page_sizes
INE482A01020_2025,CEAT Limited,INE482A01020,2025,599fa0156caf55027fa2a482979b5288311ed46e5c2b0464f812146540f35e6d,OCR_layer; hidden_text; mixed_page_sizes; deep_hierarchy,OCR_layer; hidden_text; mixed_page_sizes; deep_hierarchy
INE154A01025_2017,ITC Limited,INE154A01025,2017,a194d6ff73fc9975bb0095c3269d2c63480a802eebd0919ceef5bd389da6e42e,hidden_text; vector_text_pages; mixed_orientation; mixed_page_sizes,hidden_text; vector_text_pages; mixed_orientation; mixed_page_sizes
INE001B01026_2017,KRBL Limited,INE001B01026,2017,a7f1aa3e11271d82730e322f7bff4ff0bf937809e3bde6af26c1086426cd0393,legacy_font; hidden_text; vector_text_pages; mixed_page_sizes,legacy_font; hidden_text; vector_text_pages; mixed_page_sizes
INE008A01015_2025,IDBI Bank Limited,INE008A01015,2025,79b590350451bb6eedb98984b4bacd91b31380c85a6526816e55af8b97cd55b5,legacy_font; OCR_layer; mixed_page_sizes,legacy_font; OCR_layer; mixed_page_sizes
INE002A01018_2013,Reliance Industries Limited,INE002A01018,2013,39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,hidden_text; vector_text_pages; mixed_page_sizes; deep_hierarchy,hidden_text; vector_text_pages; mixed_page_sizes; deep_hierarchy
INE151A01013_2024,Tata Communications Limited,INE151A01013,2024,8d50b3dacf0a39d2e58cacad0375beb7d2a23f8899472c598eea915405d35e30,hidden_text; vector_text_pages; mixed_page_sizes; deep_hierarchy,hidden_text; vector_text_pages; mixed_page_sizes; deep_hierarchy
INE040A01034_2013,HDFC Bank Limited,INE040A01034,2013,fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6,legacy_font; hidden_text; vector_text_pages,legacy_font; hidden_text; vector_text_pages
