document_id,issuer,company_id,fiscal_year,pdf_sha256,split,development,selection_seed,selection_reason,condition_coverage_summary
INE040A01034_2024,HDFC Bank Limited,INE040A01034,2024,fcd7ef37de26997fed3bcf2b7cfb9eb90f08d4e2617f5f3f967a1ac621c2a73e,FIT,True,20260918,"adds new conditions: annexure, bookmark_present, deep_hierarchy, figure_heavy, hidden_text, image_heavy, long_report, mixed_page_sizes, multi_column, native, toc_present, two_column",annexure;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE00FF01025_2015,Acutaas Chemicals Limited,INE00FF01025,2015,ad5579d7193f5bff7e97d9e05e7711e0b030fa42fb874971032c13a0ef84ca0c,FIT,True,20260918,"adds new conditions: bookmark_absent, short_report, toc_absent",bookmark_absent;image_heavy;native;short_report;toc_absent
INE002A01018_2018,Reliance Industries Limited,INE002A01018,2018,3c12799b657541213f47910b4326952652cdc6ee53ec593e8a959f933e2ae0f3,FIT,True,20260918,"adds new conditions: legacy_font, scanned, visual_text_disagreement",bookmark_absent;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed_page_sizes;multi_column;scanned;toc_absent;two_column;visual_text_disagreement
INE761H01022_2018,Page Industries Limited,INE761H01022,2018,caae2c5d920664fb02ac91e33083635ee91b3671f03a8e73ca63990bd6c4dfc8,FIT,True,20260918,"adds new conditions: OCR_layer, mixed_orientation",OCR_layer;bookmark_present;deep_hierarchy;figure_heavy;image_heavy;mixed_orientation;mixed_page_sizes;multi_column;native;toc_present;two_column
INE040A01034_2013,HDFC Bank Limited,INE040A01034,2013,fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6,FIT,True,20260918,"adds new conditions: mixed, vector_text_pages",bookmark_absent;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;multi_column;toc_absent;two_column;vector_text_pages;visual_text_disagreement
INE192B01031_2012,Welspun Living Limited,INE192B01031,2012,4e62913a8863fab4f45c90c7f4ee328b232124ec02071cf61b1e4864cf850606,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;multi_column;native;toc_absent;two_column;visual_text_disagreement
INE001F01019_2024,Modern Steels Limited,INE001F01019,2024,be99894412fec2286577b6347fd4a6f6800470ccf44b5a905db3b2db4aa54e38,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE00E101023_2024,Bikaji Foods International Limited,INE00E101023,2024,0791d7e713c37c45a13249c4e9214d03419500fbd80d0436ca3183b1f9effde3,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_present;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE008A01015_2012,IDBI Bank Limited,INE008A01015,2012,a8bcd04d6ec38da4f503aa9c4abf9c51c264a617b4b6b18f56215224234695a0,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;legacy_font;long_report;mixed;multi_column;toc_absent;two_column;visual_text_disagreement
INE797F01020_2018,Jubilant Foodworks Limited,INE797F01020,2018,1796908df6c06c13b1ce4e5c04f39c8c876d0494262d36f3aab705482ce1e06b,FIT,True,20260918,adds issuer diversity (no new conditions left to add),OCR_layer;bookmark_present;deep_hierarchy;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
