condition,evidence_status,num_documents,num_issuers,fit_coverage,validation_coverage,holdout_coverage,challenge_coverage,example_document_ids
native,KNOWN_FROM_PRIOR,151,36,75,36,40,28,INE001B01026_2012;INE001B01026_2024;INE001B01026_2025;INE001F01019_2012;INE001F01019_2013
scanned,KNOWN_FROM_PRIOR,5,5,3,1,1,5,INE002A01018_2018;INE002L01015_2012;INE003B01014_2011;INE004C01028_2024;INE009A01021_2013
mixed,KNOWN_FROM_PRIOR,38,22,14,11,13,12,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001F01019_2018;INE002B01016_2012
legacy_font,INFERRED,24,15,13,4,7,10,INE001B01026_2013;INE001B01026_2017;INE001F01019_2018;INE002A01018_2018;INE002L01015_2018
OCR_layer,INFERRED,17,12,7,5,5,15,INE001F01019_2012;INE001F01019_2013;INE002B01016_2012;INE002B01016_2013;INE002E01010_2013
hidden_text,INFERRED,98,31,47,24,27,26,INE001B01026_2012;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
duplicate_text,UNKNOWN,0,0,0,0,0,0,
bilingual,KNOWN_FROM_PRIOR,0,0,0,0,0,0,
Devanagari,OBSERVED,2,1,0,0,2,2,INE002L01015_2024;INE002L01015_2025
two_column,KNOWN_FROM_PRIOR,189,36,89,47,53,40,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
multi_column,KNOWN_FROM_PRIOR,188,36,88,47,53,39,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
full_width_header,UNKNOWN,0,0,0,0,0,0,
full_width_footer,UNKNOWN,0,0,0,0,0,0,
table_heavy,UNKNOWN,0,0,0,0,0,0,
figure_heavy,INFERRED,146,35,75,35,36,32,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
image_heavy,INFERRED,173,36,80,43,50,44,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
toc_present,KNOWN_FROM_PRIOR,90,34,42,30,18,24,INE001B01026_2017;INE001B01026_2024;INE001B01026_2025;INE001F01019_2018;INE001O01029_2013
toc_absent,KNOWN_FROM_PRIOR,104,32,50,18,36,21,INE001B01026_2012;INE001B01026_2013;INE001B01026_2018;INE001F01019_2012;INE001F01019_2013
toc_offset,UNKNOWN,0,0,0,0,0,0,
bookmark_present,KNOWN_FROM_PRIOR,90,34,42,30,18,24,INE001B01026_2017;INE001B01026_2024;INE001B01026_2025;INE001F01019_2018;INE001O01029_2013
bookmark_absent,KNOWN_FROM_PRIOR,104,32,50,18,36,21,INE001B01026_2012;INE001B01026_2013;INE001B01026_2018;INE001F01019_2012;INE001F01019_2013
deep_hierarchy,KNOWN_FROM_PRIOR,28,15,14,12,2,12,INE001B01026_2024;INE001B01026_2025;INE002A01018_2013;INE002A01018_2017;INE002S01010_2024
annexure,INFERRED,5,2,1,4,0,5,INE009A01021_2012;INE009A01021_2017;INE009A01021_2018;INE009A01021_2024;INE040A01034_2024
combined_mda,INFERRED,0,0,0,0,0,0,
unusual_heading,INFERRED,2,1,0,2,0,2,INE009A01021_2024;INE009A01021_2025
long_report,INFERRED,106,27,55,25,26,27,INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025;INE002A01018_2012
short_report,INFERRED,2,2,2,0,0,2,INE00FF01025_2015;INE00LO01017_2015
mixed_orientation,KNOWN_FROM_PRIOR,23,13,8,11,4,11,INE002E01010_2012;INE002E01010_2017;INE003B01014_2013;INE003B01014_2024;INE004E01016_2018
mixed_page_sizes,OBSERVED,156,36,74,37,45,41,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
visual_text_disagreement,INFERRED,24,15,13,4,7,10,INE001B01026_2013;INE001B01026_2017;INE001F01019_2018;INE002A01018_2018;INE002L01015_2018
vector_text_pages,KNOWN_FROM_PRIOR,20,15,9,5,6,13,INE001B01026_2013;INE001B01026_2017;INE002A01018_2012;INE002A01018_2013;INE002L01015_2017
semantic_impostor,INFERRED,0,0,0,0,0,0,
