condition_A,condition_B,evidence_status,num_documents,num_issuers,example_document_ids
legacy_font,bilingual,NOT_OBSERVED,0,0,
legacy_font,scanned_or_mixed,OBSERVED,15,11,INE001B01026_2013;INE001B01026_2017;INE001F01019_2018;INE002A01018_2018;INE002L01015_2024
OCR_layer,two_column,OBSERVED,17,12,INE001F01019_2012;INE001F01019_2013;INE002B01016_2012;INE002B01016_2013;INE002E01010_2013
OCR_layer,table_heavy,UNKNOWN,,,insufficient cheap local evidence for one or both conditions in T0
scanned,Devanagari,NOT_OBSERVED,0,0,
two_column,full_width_footer,UNKNOWN,,,insufficient cheap local evidence for one or both conditions in T0
two_column,table_heavy,UNKNOWN,,,insufficient cheap local evidence for one or both conditions in T0
two_column,figure_heavy,OBSERVED,146,35,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
long_report,scanned,OBSERVED,2,2,INE002A01018_2018;INE009A01021_2013
long_report,deep_hierarchy,OBSERVED,23,13,INE001B01026_2024;INE001B01026_2025;INE002A01018_2013;INE002A01018_2017;INE002S01010_2024
toc_offset,unusual_heading,UNKNOWN,,,insufficient cheap local evidence for one or both conditions in T0
annexure,unusual_heading,OBSERVED,1,1,INE009A01021_2024
two_column,multi_column,OBSERVED,188,36,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
two_column,image_heavy,OBSERVED,169,36,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
multi_column,image_heavy,OBSERVED,168,36,INE001B01026_2012;INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024
two_column,mixed_page_sizes,OBSERVED,154,36,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
multi_column,mixed_page_sizes,OBSERVED,153,36,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
native,two_column,OBSERVED,149,36,INE001B01026_2012;INE001B01026_2024;INE001B01026_2025;INE001F01019_2012;INE001F01019_2013
native,multi_column,OBSERVED,149,36,INE001B01026_2012;INE001B01026_2024;INE001B01026_2025;INE001F01019_2012;INE001F01019_2013
image_heavy,mixed_page_sizes,OBSERVED,148,36,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
multi_column,figure_heavy,OBSERVED,146,35,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
figure_heavy,image_heavy,OBSERVED,137,35,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
native,image_heavy,OBSERVED,132,36,INE001B01026_2012;INE001B01026_2024;INE001B01026_2025;INE001F01019_2012;INE001F01019_2013
native,mixed_page_sizes,OBSERVED,124,35,INE001B01026_2024;INE001B01026_2025;INE001F01019_2012;INE001F01019_2013;INE001F01019_2024
figure_heavy,mixed_page_sizes,OBSERVED,122,35,INE001B01026_2013;INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025
native,figure_heavy,OBSERVED,115,35,INE001B01026_2024;INE001B01026_2025;INE001F01019_2017;INE001F01019_2024;INE001F01019_2025
two_column,long_report,OBSERVED,105,27,INE001B01026_2017;INE001B01026_2018;INE001B01026_2024;INE001B01026_2025;INE002A01018_2012
