issuer_id,issuer_name,split,num_documents,num_years,fiscal_years,diversity_summary
INE001B01026,KRBL Limited,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE001F01019,Modern Steels Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;figure_heavy;image_heavy;legacy_font;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE001O01029,Risa International Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
INE002A01018,Reliance Industries Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed_page_sizes;multi_column;native;scanned;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE002B01016,MADALA HOLDINGS LIMITED,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
INE002E01010,Sar  Auto Products Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
INE002L01015,SJVN Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,Devanagari;bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;scanned;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE002S01010,Mahanagar Gas Limited,VALIDATION,4,4,2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE003B01014,Inter State Oil Carrier Ltd,FIT,6,6,2011;2013;2017;2018;2024;2025,bookmark_absent;figure_heavy;hidden_text;image_heavy;mixed_orientation;mixed_page_sizes;multi_column;native;scanned;toc_absent;two_column
INE003F01015,Muller & Phipps (India) Ltd.,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
