document_id,physical_page,page_count,char_count,word_count,image_area_frac,text_area_frac,n_images,n_columns,orientation,page_width,page_height,kind,script,mojibake_ratio,dpi_estimate,cid_or_broken_text_indicator,u_fffd_indicator_unavailable,render_mode_ocr_layer_indicator,hidden_duplicate_text_indicator,evidence_status
INE001B01026_2012,0,104,6092,1001,0.0387,0.6544,2,1,0,671.0,851.0,digital,latin,0.0,300,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,1,104,4860,739,0.04,0.5625,3,2,0,671.0,851.0,digital,latin,0.0,300,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,2,104,2861,420,0.0387,0.5119,2,2,0,671.0,851.0,digital,latin,0.0,300,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,3,104,3571,582,0.04,0.3594,3,1,0,671.0,851.0,digital,latin,0.0,300,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,4,104,107,14,0.95,0.1244,2,1,0,671.0,851.0,scanned,latin,0.0,96,False,UNKNOWN,True,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,5,104,228,29,0.95,0.1169,2,3,0,671.0,851.0,hybrid,latin,0.0,96,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,6,104,1501,232,0.0,0.2581,0,3,0,671.0,851.0,digital,latin,0.0,,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,7,104,113,15,0.975,0.0881,8,1,0,671.0,851.0,scanned,latin,0.0,96,False,UNKNOWN,True,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,8,104,1928,328,0.975,0.295,6,2,0,671.0,851.0,digital,latin,0.0,96,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,9,104,1299,201,0.95,0.2194,6,2,0,671.0,851.0,digital,latin,0.0,96,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,10,104,2478,386,0.95,0.3569,3,1,0,671.0,851.0,digital,latin,0.0,96,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,11,104,3634,583,0.0025,0.4831,2,3,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,12,104,3978,620,0.0013,0.5344,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,13,104,3722,568,0.0025,0.5069,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,14,104,4149,681,0.0013,0.5294,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,15,104,2790,456,0.0025,0.4537,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,16,104,4735,739,0.0013,0.595,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,17,104,4208,629,0.0025,0.5575,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,18,104,3702,576,0.0013,0.5162,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,19,104,3977,567,0.0025,0.4894,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,20,104,4254,650,0.0013,0.5825,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,21,104,3476,537,0.0025,0.44,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,22,104,3423,384,0.0013,0.4756,1,2,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,23,104,2984,435,0.0025,0.435,2,1,0,671.0,851.0,digital,latin,0.0,95,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
INE001B01026_2012,24,104,3827,585,0.0013,0.5269,1,1,0,671.0,851.0,digital,latin,0.0,89,False,UNKNOWN,False,UNKNOWN,OBSERVED+KNOWN_FROM_PRIOR
