document_id,page_index,condition,detector,detector_version,score_or_evidence,candidate_status,verification_status,notes
INE001B01026_2012,0,native_page,census_native_detector,1.0.0,chars=6093,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,0,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,1,native_page,census_native_detector,1.0.0,chars=4861,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,1,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,2,native_page,census_native_detector,1.0.0,chars=2862,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,3,native_page,census_native_detector,1.0.0,chars=3572,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,3,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,4,native_page,census_native_detector,1.0.0,chars=108,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,4,ocr_layer_page,t0_profile_ocr_indicator,1.0.0,render_mode_ocr_layer_indicator=True,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,5,native_page,census_native_detector,1.0.0,chars=229,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,5,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,6,native_page,census_native_detector,1.0.0,chars=1502,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,6,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,7,native_page,census_native_detector,1.0.0,chars=114,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,7,ocr_layer_page,t0_profile_ocr_indicator,1.0.0,render_mode_ocr_layer_indicator=True,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,8,native_page,census_native_detector,1.0.0,chars=1929,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,9,native_page,census_native_detector,1.0.0,chars=1300,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,10,native_page,census_native_detector,1.0.0,chars=2479,CANDIDATE,NOT_REVIEWED,
INE001B01026_2012,10,two_column_page,census_layout_detector,1.0.0,est_cols=2,CANDIDATE,NOT_REVIEWED,
