document_id,pdf_path,sha256,issuer,fiscal_year,total_pages,split,development_flag,challenge_flag,holdout_flag,native_page_count,ocr_page_count,scanned_page_count,legacy_candidate_page_count,hidden_text_candidate_page_count,duplicate_text_candidate_page_count,devanagari_page_count,bilingual_candidate_page_count,one_column_page_count,two_column_page_count,multi_column_page_count,table_candidate_page_count,header_candidate_page_count,footer_candidate_page_count,toc_candidate,toc_offset_candidate,deep_hierarchy_candidate,annexure_candidate,combined_mdna_candidate,long_report_category,document_representation,evidence_status,notes
INE001B01026_2012,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\85\a4\85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4.pdf,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,KRBL Limited,2012,104,VALIDATION,False,False,False,103,2,0,0,0,2,0,0,33,42,29,104,0,104,True,1,False,True,True,MEDIUM,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001B01026_2013,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\65\a3\65a39f97ae2faecdebd901d5487886dbdc3380a282772fc6528fe9449edebd85.pdf,65a39f97ae2faecdebd901d5487886dbdc3380a282772fc6528fe9449edebd85,KRBL Limited,2013,120,VALIDATION,False,True,False,116,0,2,26,0,0,0,0,21,43,56,96,0,0,True,UNKNOWN,False,True,False,MEDIUM,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001B01026_2017,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\a7\f1\a7f1aa3e11271d82730e322f7bff4ff0bf937809e3bde6af26c1086426cd0393.pdf,a7f1aa3e11271d82730e322f7bff4ff0bf937809e3bde6af26c1086426cd0393,KRBL Limited,2017,237,VALIDATION,False,True,False,228,2,1,1,0,0,0,0,32,92,113,232,0,0,True,UNKNOWN,False,True,False,MEDIUM,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001B01026_2018,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\cf\f3\cff36dacff70715da6b6e09b4509abc9b9190ff15ed7bf2e4c840d8561f2f5b2.pdf,cff36dacff70715da6b6e09b4509abc9b9190ff15ed7bf2e4c840d8561f2f5b2,KRBL Limited,2018,247,VALIDATION,False,False,False,239,9,1,0,0,1,0,0,47,116,84,212,0,7,True,UNKNOWN,False,True,False,MEDIUM,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001B01026_2024,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\47\74\47744fb5b66bf3c5c47e8647e30f91d1243c2a671d26b580275772feca3be610.pdf,47744fb5b66bf3c5c47e8647e30f91d1243c2a671d26b580275772feca3be610,KRBL Limited,2024,155,VALIDATION,False,False,False,155,1,0,5,0,1,0,0,2,149,4,155,150,0,True,UNKNOWN,True,True,False,MEDIUM,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001B01026_2025,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ae\bc\aebce9df42a3fec535b85099546b61d94c406086e2e183220c894808554d5d07.pdf,aebce9df42a3fec535b85099546b61d94c406086e2e183220c894808554d5d07,KRBL Limited,2025,324,VALIDATION,False,False,False,322,1,2,0,0,0,0,0,12,126,186,270,33,33,True,-15,True,True,False,LONG,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001F01019_2012,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\7c\a9\7ca96fce59cda07b884371a9af00365ccde511c33e5aaabb515b79df5e459dcb.pdf,7ca96fce59cda07b884371a9af00365ccde511c33e5aaabb515b79df5e459dcb,Modern Steels Limited,2012,43,FIT,True,True,False,42,0,0,0,0,0,0,0,4,11,28,13,0,0,True,UNKNOWN,False,True,False,SHORT,NATIVE,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001F01019_2013,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\b4\3f\b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06.pdf,b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06,Modern Steels Limited,2013,46,FIT,True,True,False,45,0,0,0,0,0,0,0,5,15,26,14,0,0,True,UNKNOWN,False,True,False,SHORT,NATIVE,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001F01019_2017,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\7d\6c\7d6c7f1dff985bd0ddb0e3f676f1673c0a0a73c9a8e5561ea362e0c5b00118cc.pdf,7d6c7f1dff985bd0ddb0e3f676f1673c0a0a73c9a8e5561ea362e0c5b00118cc,Modern Steels Limited,2017,48,FIT,True,False,False,46,0,0,0,0,0,0,0,13,11,24,35,0,0,True,UNKNOWN,False,True,False,SHORT,NATIVE,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
INE001F01019_2018,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\eb\1d\eb1db90ac4b641369bbef5c6fdec9cbe9848c6abe16943b39588d0cd8f3958fe.pdf,eb1db90ac4b641369bbef5c6fdec9cbe9848c6abe16943b39588d0cd8f3958fe,Modern Steels Limited,2018,79,FIT,True,False,False,73,0,1,2,0,0,0,0,22,21,36,45,0,0,True,UNKNOWN,False,True,False,SHORT,MIXED,OBSERVED,"Q1=92.75, Median=165.0, Q3=249.25"
