document_id,mda_candidate_pages,annexure_candidate_pages,combined_mda_candidate,deep_hierarchy_candidate,outline_entries_count,detector_status,verification_status
INE001B01026_2012,2,14,True,False,0,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,12,16,False,False,0,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,5,32,False,False,7,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,37,33,False,False,0,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,9,23,False,True,9,CANDIDATE,NOT_REVIEWED
INE001B01026_2025,4,37,False,True,15,CANDIDATE,NOT_REVIEWED
INE001F01019_2012,2,4,False,False,0,CANDIDATE,NOT_REVIEWED
INE001F01019_2013,2,5,False,False,0,CANDIDATE,NOT_REVIEWED
INE001F01019_2017,1,10,False,False,0,CANDIDATE,NOT_REVIEWED
INE001F01019_2018,3,9,False,False,6,CANDIDATE,NOT_REVIEWED
INE001F01019_2024,2,9,False,False,0,CANDIDATE,NOT_REVIEWED
INE001F01019_2025,2,7,False,False,0,CANDIDATE,NOT_REVIEWED
INE001O01029_2012,3,3,False,False,0,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,4,2,True,False,34,CANDIDATE,NOT_REVIEWED
INE001O01029_2017,3,15,False,False,72,CANDIDATE,NOT_REVIEWED
INE001O01029_2018,3,12,False,False,0,CANDIDATE,NOT_REVIEWED
INE001O01029_2024,4,18,True,False,0,CANDIDATE,NOT_REVIEWED
INE001O01029_2025,4,16,True,False,0,CANDIDATE,NOT_REVIEWED
INE002A01018_2012,2,8,False,False,1,CANDIDATE,NOT_REVIEWED
INE002A01018_2013,1,8,False,True,34,CANDIDATE,NOT_REVIEWED
INE002A01018_2017,15,40,False,True,20,CANDIDATE,NOT_REVIEWED
INE002A01018_2018,0,16,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE002A01018_2024,12,28,True,False,0,CANDIDATE,NOT_REVIEWED
INE002A01018_2025,15,27,False,False,0,CANDIDATE,NOT_REVIEWED
INE002B01016_2012,2,3,False,False,0,CANDIDATE,NOT_REVIEWED
INE002B01016_2013,2,3,False,False,0,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,6,6,False,False,0,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,6,6,False,False,4,CANDIDATE,NOT_REVIEWED
INE002B01016_2024,7,25,True,False,0,CANDIDATE,NOT_REVIEWED
INE002B01016_2025,4,21,True,False,0,CANDIDATE,NOT_REVIEWED
INE002E01010_2012,2,4,False,False,0,CANDIDATE,NOT_REVIEWED
INE002E01010_2013,3,3,False,False,0,CANDIDATE,NOT_REVIEWED
INE002E01010_2017,5,15,False,False,2,CANDIDATE,NOT_REVIEWED
INE002E01010_2018,5,17,False,False,2,CANDIDATE,NOT_REVIEWED
INE002E01010_2024,3,25,False,False,0,CANDIDATE,NOT_REVIEWED
INE002E01010_2025,4,22,False,False,0,CANDIDATE,NOT_REVIEWED
INE002L01015_2012,0,0,False,False,39,NOT_OBSERVED,NOT_REVIEWED
INE002L01015_2013,3,7,False,False,0,CANDIDATE,NOT_REVIEWED
INE002L01015_2017,3,44,False,False,2,CANDIDATE,NOT_REVIEWED
INE002L01015_2018,4,33,True,False,0,CANDIDATE,NOT_REVIEWED
INE002L01015_2024,2,26,True,False,0,CANDIDATE,NOT_REVIEWED
INE002L01015_2025,4,31,True,False,0,CANDIDATE,NOT_REVIEWED
INE002S01010_2017,12,37,False,False,4,CANDIDATE,NOT_REVIEWED
INE002S01010_2018,5,16,False,False,1,CANDIDATE,NOT_REVIEWED
INE002S01010_2024,4,15,False,True,11,CANDIDATE,NOT_REVIEWED
INE002S01010_2025,5,21,False,False,0,CANDIDATE,NOT_REVIEWED
INE003B01014_2011,0,0,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE003B01014_2013,4,6,True,False,0,CANDIDATE,NOT_REVIEWED
INE003B01014_2017,0,7,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE003B01014_2018,0,10,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE003B01014_2024,6,23,True,False,0,CANDIDATE,NOT_REVIEWED
INE003B01014_2025,6,23,True,False,0,CANDIDATE,NOT_REVIEWED
INE003F01015_2012,0,4,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2013,0,4,False,False,4,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2017,0,14,False,False,4,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2018,0,13,False,False,4,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2024,0,13,False,False,4,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2025,0,14,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE004C01028_2017,0,7,False,False,60,NOT_OBSERVED,NOT_REVIEWED
INE004C01028_2018,1,10,False,False,68,CANDIDATE,NOT_REVIEWED
INE004C01028_2024,0,0,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE004C01028_2025,1,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE004E01016_2012,3,6,False,False,0,CANDIDATE,NOT_REVIEWED
INE004E01016_2013,3,6,False,False,0,CANDIDATE,NOT_REVIEWED
INE004E01016_2017,3,10,True,False,77,CANDIDATE,NOT_REVIEWED
INE004E01016_2018,0,0,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE004E01016_2024,4,17,True,False,0,CANDIDATE,NOT_REVIEWED
INE004E01016_2025,4,20,True,False,0,CANDIDATE,NOT_REVIEWED
INE004Z01011_2024,2,18,False,False,9,CANDIDATE,NOT_REVIEWED
INE004Z01011_2025,3,15,True,False,9,CANDIDATE,NOT_REVIEWED
INE005E01013_2012,5,5,True,False,74,CANDIDATE,NOT_REVIEWED
INE005E01013_2013,7,5,False,False,9,CANDIDATE,NOT_REVIEWED
INE005E01013_2017,5,19,False,False,0,CANDIDATE,NOT_REVIEWED
