document_id,issuer,fiscal_year,split,condition,status,evidence_source,document_count_basis,page_count,issuer_count_basis,detector_name,detector_version,verification_status,reviewer_type,notes,reconciled_verification_status,provenance
INE001B01026_2012,KRBL Limited,2012,VALIDATION,native,CANDIDATE,t0.1_audit_detector,1,103,1,audit_detector_native,1.0.0,NOT_REVIEWED,,raw_prop=native_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,scanned,NOT_OBSERVED,t0.1_audit_detector,0,0,0,audit_detector_scanned,1.0.0,NOT_REVIEWED,,raw_prop=scanned_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,ocr_layer_candidate,CANDIDATE,t0.1_audit_detector,1,2,1,audit_detector_ocr_layer_candidate,1.0.0,NOT_REVIEWED,,raw_prop=ocr_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,legacy_font_candidate,NOT_OBSERVED,t0.1_audit_detector,0,0,0,audit_detector_legacy_font_candidate,1.0.0,NOT_REVIEWED,,raw_prop=legacy_candidate_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,hidden_text_candidate,NOT_OBSERVED,t0.1_audit_detector,0,0,0,audit_detector_hidden_text_candidate,1.0.0,NOT_REVIEWED,,raw_prop=hidden_text_candidate_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,duplicate_text_candidate,CANDIDATE,t0.1_audit_detector,1,2,1,audit_detector_duplicate_text_candidate,1.0.0,NOT_REVIEWED,,raw_prop=duplicate_text_candidate_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,devanagari_candidate,NOT_OBSERVED,t0.1_audit_detector,0,0,0,audit_detector_devanagari_candidate,1.0.0,NOT_REVIEWED,,raw_prop=devanagari_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,bilingual_candidate,NOT_OBSERVED,t0.1_audit_detector,0,0,0,audit_detector_bilingual_candidate,1.0.0,NOT_REVIEWED,,raw_prop=bilingual_candidate_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,two_column,CANDIDATE,t0.1_audit_detector,1,42,1,audit_detector_two_column,1.0.0,NOT_REVIEWED,,raw_prop=two_column_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,multi_column,CANDIDATE,t0.1_audit_detector,1,29,1,audit_detector_multi_column,1.0.0,NOT_REVIEWED,,raw_prop=multi_column_page_count,NOT_REVIEWED,DERIVED_RECONCILIATION
