document_id,issuer,fiscal_year,split,page_index,condition,detector_status,evidence_details,original_verification_status,original_reviewer_type,original_reviewer_notes,reconciled_verification_status,reconciled_reviewer_type,reconciled_reviewer_notes,review_provenance_issue
INE001B01026_2012,KRBL Limited,2012,VALIDATION,0,table_candidate,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 0, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 4, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=4""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=4",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,1,table_candidate,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 1, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 2, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=2""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=2",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,2,table_candidate,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 2, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 1, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=1""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=1",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,3,table_candidate,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 3, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 5, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=5""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=5",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,4,table_candidate,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 4, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 0, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=0""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=0",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001F01019_2012,Modern Steels Limited,2012,FIT,3,table_candidate,CANDIDATE,"{""document_id"": ""INE001F01019_2012"", ""page_index"": 3, ""vector_grid_detected"": false, ""aligned_numeric_rows"": 4, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=False, numeric_rows=4""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=False, aligned_numeric_rows=4",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001O01029_2012,Risa International Limited,2012,HOLDOUT,0,table_candidate,CANDIDATE,"{""document_id"": ""INE001O01029_2012"", ""page_index"": 0, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 1, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=1""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=1",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002A01018_2012,Reliance Industries Limited,2012,FIT,0,table_candidate,CANDIDATE,"{""document_id"": ""INE002A01018_2012"", ""page_index"": 0, ""vector_grid_detected"": true, ""aligned_numeric_rows"": 0, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=True, numeric_rows=0""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=True, aligned_numeric_rows=0",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002B01016_2012,MADALA HOLDINGS LIMITED,2012,HOLDOUT,19,table_candidate,CANDIDATE,"{""document_id"": ""INE002B01016_2012"", ""page_index"": 19, ""vector_grid_detected"": false, ""aligned_numeric_rows"": 6, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=False, numeric_rows=6""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=False, aligned_numeric_rows=6",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002E01010_2012,Sar  Auto Products Limited,2012,HOLDOUT,2,table_candidate,CANDIDATE,"{""document_id"": ""INE002E01010_2012"", ""page_index"": 2, ""vector_grid_detected"": false, ""aligned_numeric_rows"": 3, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""grid=False, numeric_rows=3""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: vector_grid=False, aligned_numeric_rows=3",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
