document_id,page_index,furniture_type,text_snippet,vertical_coord,detector_status,verification_status
INE001B01026_2012,0,running_footer,"6 KRBL__Notice_210812.indd   1
8/23/2012   6:31:11 PM
PDF processed with CutePDF evaluation edition ",828.11,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,1,running_footer,"6 KRBL__Notice_210812.indd   2
8/23/2012   6:31:13 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,2,running_footer,"6 KRBL__Notice_210812.indd   3
8/23/2012   6:31:13 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,4,running_footer,"KRBL Cover 130812.indd   3
8/22/2012   6:19:22 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,6,running_footer,"KRBL ar Initial_220812.indd   1
8/22/2012   6:17:50 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,7,running_footer,"KRBL ar Initial_220812.indd   2
8/22/2012   6:17:53 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,9,running_footer,"KRBL MDA_Junta_220812.indd   4
8/22/2012   6:11:38 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,10,running_footer,"KRBL MDA_Junta_220812.indd   5
8/22/2012   6:11:38 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,11,running_footer,"KRBL MDA_Junta_220812.indd   6
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,12,running_footer,"KRBL MDA_Junta_220812.indd   7
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,13,running_footer,"KRBL MDA_Junta_220812.indd   8
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,14,running_footer,"KRBL MDA_Junta_220812.indd   9
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,15,running_footer,"KRBL MDA_Junta_220812.indd   10
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,16,running_footer,"KRBL MDA_Junta_220812.indd   11
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,17,running_footer,"KRBL MDA_Junta_220812.indd   12
8/22/2012   6:11:39 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,18,running_footer,"KRBL MDA_Junta_220812.indd   13
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,19,running_footer,"KRBL MDA_Junta_220812.indd   14
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,20,running_footer,"KRBL MDA_Junta_220812.indd   15
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,21,running_footer,"KRBL MDA_Junta_220812.indd   16
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,22,running_footer,"KRBL MDA_Junta_220812.indd   17
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,23,running_footer,"KRBL MDA_Junta_220812.indd   18
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,24,running_footer,"KRBL MDA_Junta_220812.indd   19
8/22/2012   6:11:40 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,26,running_footer,"1 KRBL DR & CGR_220812.indd   21
8/22/2012   7:16:27 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,27,running_footer,"1 KRBL DR & CGR_220812.indd   22
8/22/2012   7:16:27 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,28,running_footer,"1 KRBL DR & CGR_220812.indd   23
8/22/2012   7:16:27 PM",833.42,CANDIDATE,NOT_REVIEWED
