document_id,page_index,heading_text,condition,detector_status,verification_status
INE001B01026_2012,29,"A detailed review of operations, performance and future outlook",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,39,"governance report, report on management discussion and analysis and",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,39,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,39,The Management Discussion & Analysis Report forms part of this Annual,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,12,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,14,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,16,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,18,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,20,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,22,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,24,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,26,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,28,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,32,"A detailed review of operations, performance and future outlook",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,43,Reviews Management Discussion and Analysis of,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,48,Management Discussion and Analysis and Shareholding Pattern etc.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,48,Management Discussion and Analysis Report:,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2013,48,The Management Discussion & Analysis Report forms part of this,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,3,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,49,"Management Discussion and Analysis, describing your",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,56,A detailed review of operations and performance and,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,56,the head ‘Management Discussion & Analysis’ pursuant,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,92,Management discussion and analysis of financial,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2017,99,MANAGEMENT DISCUSSION AND ANALYSIS,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,1,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,3,Management Discussion & Analysis 07,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,7,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,7,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,9,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,9,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,11,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,13,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,15,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,15,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,17,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,19,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,21,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,23,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,25,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,27,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,27,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,29,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,29,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
