document_id,toc_page,candidate_offset,support_count,total_matches,offset_consistency,support_entries,detector_status,verification_status
INE001B01026_2012,4,1,1,3,0.33,KRBL Cover 130812.indd (folio 3 -> page 4),CANDIDATE,NOT_REVIEWED
INE001B01026_2025,3,-15,2,6,0.33,Standalone Financial Statements (folio 181 -> page 166); Consolidated Financial Statements (folio 261 -> page 246),CANDIDATE,NOT_REVIEWED
INE001F01019_2024,13,11,1,6,0.17,Directors’ Report (folio 2 -> page 13),CANDIDATE,NOT_REVIEWED
INE001F01019_2025,13,11,1,6,0.17,Directors’ Report (folio 2 -> page 13),CANDIDATE,NOT_REVIEWED
INE001O01029_2012,1,UNRESOLVED,0,0,0.0,,UNRESOLVED,NOT_REVIEWED
INE002E01010_2012,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE002E01010_2013,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE002L01015_2012,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE002S01010_2017,3,2,1,1,1.0,ANNUAL REPORT-2017   | (folio 1 -> page 3),CANDIDATE,NOT_REVIEWED
INE003B01014_2011,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE003B01014_2013,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE003F01015_2012,8,UNRESOLVED,0,0,0.0,,UNRESOLVED,NOT_REVIEWED
INE004C01028_2024,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE004E01016_2018,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE006C01015_2012,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE006C01015_2013,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE006C01015_2017,4,0,2,6,0.33,"1st Floor, Deshana Chamber,                             Notice to the Shareholders (folio 4 -> page 4); Attendance Slip (folio 51 -> page 51)",CANDIDATE,NOT_REVIEWED
INE006C01015_2018,4,0,2,6,0.33,"1st Floor, Deshana Chamber,                             Notice to the Shareholders (folio 4 -> page 4); Attendance Slip (folio 48 -> page 48)",CANDIDATE,NOT_REVIEWED
INE006C01015_2025,4,-14,1,1,1.0,Balance Sheet (folio 37 -> page 23),CANDIDATE,NOT_REVIEWED
INE006I01046_2017,8,1,1,3,0.33,Consolidated Statement of Changes in Equity (folio 99 -> page 100),CANDIDATE,NOT_REVIEWED
INE006I01046_2018,8,8,1,1,1.0,Joint Ventures (folio 127 -> page 135),CANDIDATE,NOT_REVIEWED
INE006I01046_2025,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE009A01021_2012,14,12,2,12,0.17,Letter to the shareholder (folio 2 -> page 14); Shareholder information (folio 72 -> page 84),CANDIDATE,NOT_REVIEWED
INE009A01021_2013,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE009A01021_2018,2,-1,5,15,0.33,Corporate governance and compliance (folio 19 -> page 18); Client focus (folio 20 -> page 19); Business continuity management (folio 21 -> page 20); Technology and innovation (folio 22 -> page 21); Re,STRONG_CANDIDATE,NOT_REVIEWED
INE00FF01025_2015,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE00FF01025_2024,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE00LO01017_2015,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE00LO01017_2024,2,-9,2,11,0.18,Our business verticals (folio 11 -> page 2); Competitive advantage (folio 22 -> page 13),CANDIDATE,NOT_REVIEWED
INE00LO01017_2025,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE040A01034_2024,29,15,1,7,0.14,Our Presence (folio 14 -> page 29),CANDIDATE,NOT_REVIEWED
INE040A01034_2025,4,-3,6,12,0.5,Strategy in Action (folio 74 -> page 71); Customer Centricity (folio 136 -> page 133); Future Ready Digital Bank (folio 142 -> page 139); Social - People (folio 150 -> page 147); Nation Building (foli,STRONG_CANDIDATE,NOT_REVIEWED
INE044A01036_2025,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE081A01020_2012,4,1,1,1,1.0,Annual Report 2011-12 (folio 3 -> page 4),CANDIDATE,NOT_REVIEWED
INE081A01020_2013,4,-14,1,2,0.5,"Operating Context, Risks and Opportunities (folio 18 -> page 4)",CANDIDATE,NOT_REVIEWED
INE081A01020_2025,5,UNRESOLVED,0,0,0.0,,UNRESOLVED,NOT_REVIEWED
INE119A01028_2013,1,0,1,3,0.33,Notice	 (folio 1 -> page 1),CANDIDATE,NOT_REVIEWED
INE154A01025_2012,1,-9,1,1,1.0,Report on Corporate Governance (folio 10 -> page 1),CANDIDATE,NOT_REVIEWED
INE171A01029_2025,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE191H01014_2017,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE191H01014_2018,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE192B01031_2025,,NO_TOC,0,0,0.0,,NOT_OBSERVED,NOT_REVIEWED
INE226A01021_2024,3,UNRESOLVED,0,0,0.0,,UNRESOLVED,NOT_REVIEWED
INE797F01020_2017,27,4,1,2,0.5,Annual Report 2016-17 (folio 13 -> page 17),CANDIDATE,NOT_REVIEWED
