condition,document_count,issuer_count,page_count,fit_count,validation_count,holdout_count,classification,concentration
native,191,36,36988,91,47,53,WELL_REPRESENTED,5.31
scanned,63,30,284,28,15,20,WELL_REPRESENTED,2.1
ocr_layer_candidate,98,31,189,47,24,27,WELL_REPRESENTED,3.16
legacy_font_candidate,56,24,1007,30,10,16,WELL_REPRESENTED,2.33
hidden_text_candidate,3,3,4,3,0,0,RARE,1.0
duplicate_text_candidate,35,18,68,20,8,7,REPRESENTED,1.94
devanagari_candidate,2,1,2,0,0,2,RARE,2.0
bilingual_candidate,2,1,2,0,0,2,RARE,2.0
two_column,184,36,15015,87,47,50,WELL_REPRESENTED,5.11
multi_column,191,36,17190,91,47,53,WELL_REPRESENTED,5.31
table_candidate,190,36,29476,90,47,53,WELL_REPRESENTED,5.28
header_candidate,84,32,6980,31,26,27,WELL_REPRESENTED,2.62
footer_candidate,90,28,8902,43,29,18,WELL_REPRESENTED,3.21
toc_candidate,174,36,174,81,45,48,WELL_REPRESENTED,4.83
deep_hierarchy_candidate,28,15,28,14,12,2,REPRESENTED,1.87
annexure_candidate,188,36,188,88,47,53,WELL_REPRESENTED,5.22
combined_mdna_candidate,44,22,44,21,11,12,REPRESENTED,2.0
