dimension,category,document_id,issuer,fiscal_year,split,source_artifact,source_row_identifier
document_representation,native,INE001F01019_2012,Modern Steels Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2012
document_representation,native,INE001F01019_2013,Modern Steels Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2013
document_representation,native,INE001F01019_2017,Modern Steels Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2017
document_representation,native,INE001F01019_2024,Modern Steels Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2024
document_representation,native,INE001F01019_2025,Modern Steels Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2025
document_representation,native,INE001O01029_2012,Risa International Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2012
document_representation,native,INE001O01029_2018,Risa International Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2018
document_representation,native,INE002A01018_2024,Reliance Industries Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2024
document_representation,native,INE002A01018_2025,Reliance Industries Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2025
document_representation,native,INE002B01016_2018,MADALA HOLDINGS LIMITED,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2018
document_representation,native,INE002B01016_2024,MADALA HOLDINGS LIMITED,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2024
document_representation,native,INE002E01010_2012,Sar  Auto Products Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2012
document_representation,native,INE002E01010_2017,Sar  Auto Products Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2017
document_representation,native,INE002E01010_2024,Sar  Auto Products Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2024
document_representation,native,INE002E01010_2025,Sar  Auto Products Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2025
document_representation,native,INE002L01015_2024,SJVN Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002L01015_2024
document_representation,native,INE003B01014_2013,Inter State Oil Carrier Ltd,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003B01014_2013
document_representation,native,INE003B01014_2017,Inter State Oil Carrier Ltd,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003B01014_2017
document_representation,native,INE003B01014_2024,Inter State Oil Carrier Ltd,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003B01014_2024
document_representation,native,INE003B01014_2025,Inter State Oil Carrier Ltd,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003B01014_2025
document_representation,native,INE003F01015_2012,Muller & Phipps (India) Ltd.,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2012
document_representation,native,INE003F01015_2013,Muller & Phipps (India) Ltd.,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2013
document_representation,native,INE003F01015_2017,Muller & Phipps (India) Ltd.,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2017
document_representation,native,INE003F01015_2018,Muller & Phipps (India) Ltd.,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2018
document_representation,native,INE004C01028_2017,Gujarat Cotex Ltd,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004C01028_2017
document_representation,native,INE004C01028_2018,Gujarat Cotex Ltd,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004C01028_2018
document_representation,native,INE004E01016_2012,Span Divergent Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2012
document_representation,native,INE004Z01011_2024,Mac Hotels Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004Z01011_2024
document_representation,native,INE006C01015_2013,K.Z.Leasing & Finance Ltd.,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2013
document_representation,native,INE006C01015_2018,K.Z.Leasing & Finance Ltd.,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2018
document_representation,native,INE006C01015_2024,K.Z.Leasing & Finance Ltd.,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2024
document_representation,native,INE006C01015_2025,K.Z.Leasing & Finance Ltd.,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2025
document_representation,native,INE006I01046_2025,Astral Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2025
document_representation,native,INE007A01025_2018,Crisil Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2018
document_representation,native,INE008A01015_2012,IDBI Bank Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2012
document_representation,native,INE009A01021_2013,Infosys Limited,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2013
document_representation,native,INE009A01021_2017,Infosys Limited,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2017
document_representation,native,INE00E101023_2024,Bikaji Foods International Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00E101023_2024
document_representation,native,INE00FF01025_2015,Acutaas Chemicals Limited,2015,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00FF01025_2015
document_representation,native,INE00LO01017_2015,Craftsman Automation Limited,2015,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00LO01017_2015
document_representation,native,INE00LO01017_2024,Craftsman Automation Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00LO01017_2024
document_representation,native,INE00LO01017_2025,Craftsman Automation Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00LO01017_2025
document_representation,native,INE00WC01027_2024,Affle 3i Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00WC01027_2024
document_representation,native,INE00WC01027_2025,Affle 3i Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00WC01027_2025
document_representation,native,INE044A01036_2012,Sun Pharmaceutical Industries Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2012
document_representation,native,INE044A01036_2013,Sun Pharmaceutical Industries Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2013
document_representation,native,INE081A01020_2013,Tata Steel Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2013
document_representation,native,INE151A01013_2013,Tata Communications Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2013
document_representation,native,INE154A01025_2012,ITC Limited,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2012
document_representation,native,INE154A01025_2013,ITC Limited,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2013
document_representation,native,INE154A01025_2018,ITC Limited,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2018
document_representation,native,INE154A01025_2024,ITC Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2024
document_representation,native,INE171A01029_2012,The Federal Bank  Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE171A01029_2012
