sha256,company_id,cin,fy_end,doc_kind,cap_band,exchange,total_pages,proposed_start,proposed_end,true_start,true_end,reason_code,labeller,labelled_at,verified_by
08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70,INE114A01011,,2011,digital,mid,both,128,29,36,29,36,OK,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d,INE257A01026,,2012,mixed,mid,both,284,28,29,28,29,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
b237251a6a35622748dd3512b6e23d8a992669781cd2debc6b3287a394f4275b,INE733E01010,,2014,digital,large,both,261,43,68,43,68,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76,INE213A01029,,2013,mixed,large,both,147,42,49,42,49,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c,INE522F01014,,2012,scanned,large,both,234,,,120,137,BOTH,historical_ground_truth,2026-09-11T16:15:00Z,copied_from_run
39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,INE002A01018,,2013,digital,large,both,228,20,55,20,55,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
d7685d1ac37ba440d468d6180b99e12120d96cb8ffe84104faed7ca787fac555,INE154A01025,,2014,mixed,large,both,250,63,100,63,100,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9,INE009A01021,,2011,digital,large,both,214,39,47,39,59,WRONG_END,historical_ground_truth,2026-09-11T16:15:00Z,unknown
dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4,INE081A01020,,2012,digital,large,both,252,88,132,88,142,WRONG_END,historical_ground_truth,2026-09-11T16:15:00Z,unknown
b261b2932470e172246c535803ce1586dd99a4442f16a3aaf1f62bdfc3e4316d,INE714B01016,,2014,mixed,micro,bse,34,7,7,7,7,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d,INE467B01029,,2010,mixed,large,both,187,37,94,37,94,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06,INE001F01019,,2013,digital,micro,bse,46,9,10,9,10,OK,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
51f9884c026445d0f7687d41414d9193ea16fe637c3b74617fa7d8477f94dbe4,INE003F01015,,2012,digital,micro,bse,45,,,,,NO_MDA_IN_DOC,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
edc9a15f53d68ac648fad9db5afc2d47906021f98b7a5e3085f8858450075a66,INE003B01014,,2011,scanned,micro,bse,48,,,15,15,BOTH,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
36d04a8c986ba4e1d1df3bb63d855238a4fdba2923b17829880dfc01c9a25b5e,INE004E01016,,2010,digital,micro,bse,84,4,6,4,10,WRONG_END,historical_ground_truth,2026-09-11T16:15:00Z,unknown
f934459f048686d3c2169322c6b2bc731a83e4ac182dbffa878257222736e386,INE005E01013,,2013,mixed,micro,bse,78,19,36,19,36,OK,historical_ground_truth,2026-09-11T16:15:00Z,unknown
fc3571e80cc578381676fdf3626f518a3f5138e1d28cd77482dc4e235911a8d0,INE001B01026,,2014,mixed,micro,both,112,8,21,8,21,OK,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
a04c6b953a65534c863be31c88a387cb75ad7d7810baa0040e3a7c26aea9e028,INE004C01028,,2014,digital,micro,bse,37,13,13,13,13,OK,historical_ground_truth,2026-09-11T16:15:00Z,copied_from_run
86326cd1589be403ed993e45ca699c92b945d81887261a1aac7c718c2990da36,INE175A01038,,2011,mixed,micro,both,144,47,58,47,62,WRONG_END,historical_ground_truth,2026-09-11T16:15:00Z,unknown
c1bc59575b9407e17e8d266464ec2e92c7eee600744abd5494089f4dcc4207c8,INE006C01015,,2010,digital,micro,bse,26,7,9,,,NOT_FOUND,historical_ground_truth,2026-09-11T16:15:00Z,read_pdf
