sha256,company_id,cin,fy_end,doc_kind,cap_band,exchange,total_pages,path,split_seed
3e58ef4edf7239d3fe4e101d7f5a6eebec2d31e6190f7032d58b0ded3e3dffec,INE081A01020,,2013,digital,large,both,228,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\3e\58\3e58ef4edf7239d3fe4e101d7f5a6eebec2d31e6190f7032d58b0ded3e3dffec.pdf,20260912
ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0,INE044A01036,,2013,digital,large,both,132,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ed\03\ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0.pdf,20260912
7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a,INE002A01018,,2012,digital,large,both,220,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\7d\5e\7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a.pdf,20260912
616ed821eb51e80de32cfad964e6a1451187fac8ccff7e6813361c549a70f7ce,INE154A01025,,2013,digital,large,both,238,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\61\6e\616ed821eb51e80de32cfad964e6a1451187fac8ccff7e6813361c549a70f7ce.pdf,20260912
71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149,INE044A01036,,2012,mixed,large,both,128,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\71\a1\71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149.pdf,20260912
ac5529d7cf0757abfc755cf6a93e56b5e2379b82384ede37590b3854428ebbc5,INE154A01025,,2012,mixed,large,both,212,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ac\55\ac5529d7cf0757abfc755cf6a93e56b5e2379b82384ede37590b3854428ebbc5.pdf,20260912
a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178,INE009A01021,,2013,scanned,large,both,159,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\a6\25\a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178.pdf,20260912
eadc5029f16c33a91cf122fa51bc516ba896f37aa9e4b9751aba7efe5d264ba8,INE004E01016,,2012,digital,micro,bse,76,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ea\dc\eadc5029f16c33a91cf122fa51bc516ba896f37aa9e4b9751aba7efe5d264ba8.pdf,20260912
82dddee265891d2900a0c1029d97d91856a2decb8361a6c52275f49d5053cc9e,INE003F01015,,2013,digital,micro,bse,48,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\82\dd\82dddee265891d2900a0c1029d97d91856a2decb8361a6c52275f49d5053cc9e.pdf,20260912
f14b33e27ee960e8eea8d66e80036ffa45f132194765af3fda617950512b6e25,INE002E01010,,2012,digital,micro,bse,40,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\f1\4b\f14b33e27ee960e8eea8d66e80036ffa45f132194765af3fda617950512b6e25.pdf,20260912
