document_id,sha256,company,FY,era,cap_band,doc_kind,verified_by,true_start_page,proposed_start_page,heading_form,heading_text,heading_page,annexure_identifier,classification_status,classification_reason,exact_start_correct,within_1_correct,is_eligible
INE114A01011,08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70,Steel Authority of India Ltd,2011,2010-2013,mid,digital,read_pdf,29,29,standalone_heading,Management Discussion and Analysis Report,29,,clear,Top-of-page standalone heading; no annexure designation; distinct from Directors' Report.,True,True,True
INE257A01026,b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d,Bharat Heavy Electricals Ltd,2012,2010-2013,mid,mixed,unknown,28,28,annexure_labelled,ANNEXURE – I TO THE DIRECTORS’ REPORT / Management Discussion and Analysis,28,I,clear,Explicitly labelled as Annexure I to the Directors' Report.,True,True,True
INE733E01010,b237251a6a35622748dd3512b6e23d8a992669781cd2debc6b3287a394f4275b,NTPC Limited,2014,2014-2018,large,digital,unknown,43,43,annexure_labelled,Annexure-I to Directors’ Report / MANAGEMENT DISCUSSION AND ANALYSIS,43,I,clear,Explicitly labelled as Annexure-I to Directors' Report.,True,True,True
INE213A01029,b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76,Oil & Natural Gas Corp Ltd,2013,2010-2013,large,mixed,unknown,42,42,standalone_heading,MANAGEMENT DISCUSSION & ANALYSIS REPORT (divider p.41) / 1. The Economy (p.42),42,,clear,Standalone section introduced by dedicated section divider card; no annexure designation.,True,True,True
INE522F01014,c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c,Coal India Limited,2012,2010-2013,large,scanned,copied_from_run,120,,standalone_heading,Coal India Limited. A Maharatna Company / MANAGEMENT DISCUSSION AND ANALYSIS,120,,clear,Standalone section header; no annexure designation.,False,False,True
INE002A01018,39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,Reliance Industries Ltd,2013,2010-2013,large,digital,unknown,20,20,standalone_heading,Reliance Industries Limited / Management’s Discussion And Analysis,20,,clear,Standalone section heading; no annexure designation.,True,True,True
INE154A01025,d7685d1ac37ba440d468d6180b99e12120d96cb8ffe84104faed7ca787fac555,ITC Limited,2014,2014-2018,large,mixed,unknown,63,63,combined_with_directors_report,Report of the Directors & Management Discussion and Analysis,63,,clear,Combined Directors' Report & MD&A heading construction introducing joint report.,True,True,True
INE009A01021,6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9,Infosys Limited,2011,2010-2013,large,digital,unknown,39,39,standalone_heading,Management’s discussion and analysis | 19,39,,clear,Standalone section heading in top banner; no annexure designation.,True,True,True
INE081A01020,dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4,Tata Steel Limited,2012,2010-2013,large,digital,unknown,88,88,standalone_heading,Management Discussion and Analysis 2011-12,88,,clear,Standalone section heading; no annexure designation.,True,True,True
INE714B01016,b261b2932470e172246c535803ce1586dd99a4442f16a3aaf1f62bdfc3e4316d,Andhra Petrochemicals Ltd,2014,2014-2018,micro,mixed,unknown,7,7,standalone_heading,The Andhra Petrochemicals Limited / MANAGEMENT DISCUSSION AND ANALYSIS:,7,,clear,Standalone section heading at top of page 7; subsequent Annexure A is unrelated.,True,True,True
INE467B01029,80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d,Tata Consultancy Services Ltd,2010,2010-2013,large,mixed,unknown,37,37,standalone_heading,Annual Report 2009-10 / Management Discussion and Analysis,37,,clear,Standalone section heading; no annexure designation.,True,True,True
INE001F01019,b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06,Modern Steels Limited,2013,2010-2013,micro,digital,read_pdf,9,9,standalone_heading,MANAGEMENT DISCUSSIONS AND ANALYSIS,9,,clear,Standalone section heading beginning on p.9 after Directors' Report signature block.,True,True,True
INE003F01015,51f9884c026445d0f7687d41414d9193ea16fe637c3b74617fa7d8477f94dbe4,Muller & Phipps (India) Ltd,2012,2010-2013,micro,digital,read_pdf,,,excluded,,,,insufficient_context,NO_VERIFIED_TRUE_START (no MD&A present in annual report).,,,False
INE003B01014,edc9a15f53d68ac648fad9db5afc2d47906021f98b7a5e3085f8858450075a66,Inter State Oil Carrier Ltd,2011,2010-2013,micro,scanned,read_pdf,15,,annexure_labelled,Annexure - B / MANAGEMENT DISCUSSION & ANALYSIS,15,B,clear,Explicit structural annexure designation (Annexure - B).,False,False,True
INE004E01016,36d04a8c986ba4e1d1df3bb63d855238a4fdba2923b17829880dfc01c9a25b5e,Span Divergent Limited,2010,2010-2013,micro,digital,unknown,4,4,other,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,4,,ambiguous,Ambiguous construction: heading is embedded mid-page inside Directors' Report body rather than standalone or combined title.,True,True,True
INE005E01013,f934459f048686d3c2169322c6b2bc731a83e4ac182dbffa878257222736e386,Ekansh Concepts Limited,2013,2010-2013,micro,mixed,unknown,19,19,standalone_heading,MANAGEMENT DISCUSSION AND ANALYSIS,19,,clear,Standalone section heading; no annexure designation.,True,True,True
INE001B01026,fc3571e80cc578381676fdf3626f518a3f5138e1d28cd77482dc4e235911a8d0,KRBL Limited,2014,2014-2018,micro,mixed,read_pdf,8,8,other,INDIAN RICE OVERVIEW,8,,clear,"At true start page 8, heading is subsection title 'INDIAN RICE OVERVIEW' without structural MD&A heading (divider title on p.5).",True,True,True
INE004C01028,a04c6b953a65534c863be31c88a387cb75ad7d7810baa0040e3a7c26aea9e028,Gujarat Cotex Ltd,2014,2014-2018,micro,digital,copied_from_run,13,13,standalone_heading,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,13,,clear,Standalone section heading; no annexure designation.,True,True,True
INE175A01038,86326cd1589be403ed993e45ca699c92b945d81887261a1aac7c718c2990da36,Jain Irrigation Systems Ltd,2011,2010-2013,micro,mixed,unknown,47,47,standalone_heading,MANAGEMENT DISCUSSION AND ANALYSIS,47,,clear,Standalone section heading; no annexure designation.,True,True,True
INE006C01015,c1bc59575b9407e17e8d266464ec2e92c7eee600744abd5494089f4dcc4207c8,K.Z. Leasing & Finance Ltd,2010,2010-2013,micro,digital,read_pdf,,7,excluded,,,,insufficient_context,NO_VERIFIED_TRUE_START (MD&A section not found in report).,,,False
