era,cap_band,expected,discovered,downloaded,identity_verified,mda_located,accepted,coverage,loss_rate_expected_to_discovered_pct,loss_rate_discovered_to_downloaded_pct,loss_rate_downloaded_to_identity_verified_pct,loss_rate_identity_verified_to_mda_located_pct,loss_rate_mda_located_to_accepted_pct,interpretation
E1_pre2013_FY2010-2012,large,18,18,6,6,6,6,0.3333,0.0,66.67,0.0,0.0,0.0,SPARSE — DESCRIPTIVE ONLY
E1_pre2013_FY2010-2012,micro,36,29,10,8,9,6,0.1667,19.44,65.52,20.0,-12.5,33.33,SPARSE — DESCRIPTIVE ONLY
E1_pre2013_FY2010-2012,mid,24,24,8,6,7,3,0.125,0.0,66.67,25.0,-16.67,57.14,SPARSE — DESCRIPTIVE ONLY
E1_pre2013_FY2010-2012,small,30,14,5,4,5,2,0.0667,53.33,64.29,20.0,-25.0,60.0,SPARSE — DESCRIPTIVE ONLY
E2_BRreport_FY2013-2014,large,12,12,6,6,6,5,0.4167,0.0,50.0,0.0,0.0,16.67,SPARSE — DESCRIPTIVE ONLY
E2_BRreport_FY2013-2014,micro,24,20,10,7,9,6,0.25,16.67,50.0,30.0,-28.57,33.33,SPARSE — DESCRIPTIVE ONLY
E2_BRreport_FY2013-2014,mid,16,16,8,7,8,5,0.3125,0.0,50.0,12.5,-14.29,37.5,SPARSE — DESCRIPTIVE ONLY
E2_BRreport_FY2013-2014,small,20,11,5,3,5,1,0.05,45.0,54.55,40.0,-66.67,80.0,SPARSE — DESCRIPTIVE ONLY
E3_CompaniesAct2013_FY2015,large,6,6,0,0,0,0,0.0,0.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E3_CompaniesAct2013_FY2015,micro,12,11,0,0,0,0,0.0,8.33,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E3_CompaniesAct2013_FY2015,mid,8,8,0,0,0,0,0.0,0.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E3_CompaniesAct2013_FY2015,small,10,8,2,0,0,0,0.0,20.0,75.0,100.0,,,SPARSE — DESCRIPTIVE ONLY
E4_IndAS_FY2016-2019,large,24,24,12,12,12,9,0.375,0.0,50.0,0.0,0.0,25.0,SPARSE — DESCRIPTIVE ONLY
E4_IndAS_FY2016-2019,micro,48,45,22,17,17,10,0.2083,6.25,51.11,22.73,0.0,41.18,SPARSE — DESCRIPTIVE ONLY
E4_IndAS_FY2016-2019,mid,32,32,16,14,16,13,0.4062,0.0,50.0,12.5,-14.29,18.75,SPARSE — DESCRIPTIVE ONLY
E4_IndAS_FY2016-2019,small,40,24,12,11,12,8,0.2,40.0,50.0,8.33,-9.09,33.33,SPARSE — DESCRIPTIVE ONLY
E5_MandatedRatios_FY2020-2022,large,18,18,0,0,0,0,0.0,0.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E5_MandatedRatios_FY2020-2022,micro,36,36,0,0,0,0,0.0,0.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E5_MandatedRatios_FY2020-2022,mid,24,24,0,0,0,0,0.0,0.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E5_MandatedRatios_FY2020-2022,small,30,24,0,0,0,0,0.0,20.0,100.0,,,,SPARSE — DESCRIPTIVE ONLY
E6_BRSR_FY2023-2025,large,18,18,12,12,12,12,0.6667,0.0,33.33,0.0,0.0,0.0,SPARSE — DESCRIPTIVE ONLY
E6_BRSR_FY2023-2025,micro,36,36,24,22,22,13,0.3611,0.0,33.33,8.33,0.0,40.91,SPARSE — DESCRIPTIVE ONLY
E6_BRSR_FY2023-2025,mid,24,24,16,15,16,12,0.5,0.0,33.33,6.25,-6.67,25.0,SPARSE — DESCRIPTIVE ONLY
E6_BRSR_FY2023-2025,small,30,30,20,20,20,16,0.5333,0.0,33.33,0.0,0.0,20.0,SPARSE — DESCRIPTIVE ONLY
