FY,expected,discovered,downloaded,identity_verified,mda_located,accepted,coverage
2010,36,28,0,0,0,0,0.0
2011,36,29,1,1,1,0,0.0
2012,36,28,28,23,26,17,0.4722
2013,36,29,29,23,28,17,0.4722
2014,36,30,0,0,0,0,0.0
2015,36,33,2,0,0,0,0.0
2016,36,31,0,0,0,0,0.0
2017,36,31,31,28,29,22,0.6111
2018,36,31,31,26,28,18,0.5
2019,36,32,0,0,0,0,0.0
2020,36,33,0,0,0,0,0.0
2021,36,34,0,0,0,0,0.0
2022,36,35,0,0,0,0,0.0
2023,36,36,0,0,0,0,0.0
2024,36,36,36,35,35,26,0.7222
2025,36,36,36,34,35,27,0.75
