observation_id,company_id,fy,group,exact_url,arm_order,scheduled_time,time_between_seconds,arm_a_result,arm_a_status,arm_a_bytes,arm_a_terminal_state,arm_a_fail_layer,arm_b_result,arm_b_status,arm_b_bytes,arm_b_terminal_state,arm_b_fail_layer,outcome_classification
INE002A01018::FY2010,INE002A01018,2010,DOWNLOAD_ZERO_FY,https://nsearchives.nseindia.com/annual_reports/AR_RELIANCE_2009_2010_20082010120000.zip,A_then_B,2026-09-17T14:50:00Z,7.43,SUCCESS,200,8795366,SUCCESS_ZIP,NONE,SUCCESS,200,8795366,SUCCESS_ZIP,NONE,A and B both succeed
INE040A01034::FY2014,INE040A01034,2014,DOWNLOAD_ZERO_FY,https://nsearchives.nseindia.com/annual_reports/AR_3393_HDFCBANK_2013_2014_12062014114216.zip,B_then_A,2026-09-17T14:50:00Z,6.61,SUCCESS,200,5591336,SUCCESS_ZIP,NONE,SUCCESS,200,5591336,SUCCESS_ZIP,NONE,A and B both succeed
INE081A01020::FY2016,INE081A01020,2016,DOWNLOAD_ZERO_FY,https://nsearchives.nseindia.com/annual_reports/AR_9362_TATASTEEL_2015_2016_16082016104323.zip,A_then_B,2026-09-17T14:50:00Z,10.95,SUCCESS,200,5455878,SUCCESS_ZIP,NONE,SUCCESS,200,5455878,SUCCESS_ZIP,NONE,A and B both succeed
INE171A01029::FY2021,INE171A01029,2021,DOWNLOAD_ZERO_FY,https://nsearchives.nseindia.com/annual_reports/AR_18152_FEDERALBNK_2020_2021_17062021235201_18062021070010.zip,B_then_A,2026-09-17T14:50:00Z,8.44,SUCCESS,200,9448336,SUCCESS_ZIP,NONE,SUCCESS,200,9448336,SUCCESS_ZIP,NONE,A and B both succeed
INE226A01021::FY2022,INE226A01021,2022,DOWNLOAD_ZERO_FY,https://nsearchives.nseindia.com/annual_reports/AR_19956_VOLTAS_2021_2022_28052022144748_05282022150002.zip,A_then_B,2026-09-17T14:50:00Z,8.36,SUCCESS,200,7482626,SUCCESS_ZIP,NONE,SUCCESS,200,7482626,SUCCESS_ZIP,NONE,A and B both succeed
INE002A01018::FY2012,INE002A01018,2012,DOWNLOAD_NONZERO_FY_CONTROL,https://nsearchives.nseindia.com/annual_reports/AR_RELIANCE_2011_2012_29062012101059.zip,B_then_A,2026-09-17T14:50:00Z,5.8,SUCCESS,200,5111665,SUCCESS_ZIP,NONE,SUCCESS,200,5111665,SUCCESS_ZIP,NONE,A and B both succeed
INE009A01021::FY2013,INE009A01021,2013,DOWNLOAD_NONZERO_FY_CONTROL,https://nsearchives.nseindia.com/annual_reports/AR_27_INFY_2012_2013_20062013105245.zip,A_then_B,2026-09-17T14:50:00Z,5.41,SUCCESS,200,8608682,SUCCESS_ZIP,NONE,SUCCESS,200,8608682,SUCCESS_ZIP,NONE,A and B both succeed
INE040A01034::FY2017,INE040A01034,2017,DOWNLOAD_NONZERO_FY_CONTROL,https://nsearchives.nseindia.com/annual_reports/AR_10840_HDFCBANK_2016_2017_25072017151900.zip,B_then_A,2026-09-17T14:50:00Z,3.93,SUCCESS,200,7230114,SUCCESS_ZIP,NONE,SUCCESS,200,7230114,SUCCESS_ZIP,NONE,A and B both succeed
INE044A01036::FY2018,INE044A01036,2018,DOWNLOAD_NONZERO_FY_CONTROL,https://nsearchives.nseindia.com/annual_reports/AR_13921_SUNPHARMA_2017_2018_01102018175233.zip,A_then_B,2026-09-17T14:50:00Z,5.8,SUCCESS,200,3050947,SUCCESS_ZIP,NONE,SUCCESS,200,3050947,SUCCESS_ZIP,NONE,A and B both succeed
INE081A01020::FY2024,INE081A01020,2024,DOWNLOAD_NONZERO_FY_CONTROL,https://nsearchives.nseindia.com/annual_reports/AR_24166_TATASTEEL_2023_2024_2206202419194.pdf,B_then_A,2026-09-17T14:50:00Z,22.2,SUCCESS,200,26006738,SUCCESS_PDF,NONE,SUCCESS,200,26006738,SUCCESS_PDF,NONE,A and B both succeed
