threshold,removed_pure_ocr_doc,before_flagged_count,before_fraction,after_flagged_count,after_fraction,change,stable,qualitative_conclusion
0.02,INE002A01018/2018,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002A01018/2018 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.02,INE002L01015/2012,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002L01015/2012 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.02,INE003B01014/2011,4,0.8,4,1.0,0.19999999999999996,False,"Removing INE003B01014/2011 moves flagged fraction from 0.80 (5 docs) to 1.00 (4 docs), delta +0.20."
0.02,INE004C01028/2024,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE004C01028/2024 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.02,INE009A01021/2013,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE009A01021/2013 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.025,INE002A01018/2018,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002A01018/2018 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.025,INE002L01015/2012,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002L01015/2012 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.025,INE003B01014/2011,4,0.8,4,1.0,0.19999999999999996,False,"Removing INE003B01014/2011 moves flagged fraction from 0.80 (5 docs) to 1.00 (4 docs), delta +0.20."
0.025,INE004C01028/2024,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE004C01028/2024 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.025,INE009A01021/2013,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE009A01021/2013 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.03,INE002A01018/2018,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002A01018/2018 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.03,INE002L01015/2012,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE002L01015/2012 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.03,INE003B01014/2011,4,0.8,4,1.0,0.19999999999999996,False,"Removing INE003B01014/2011 moves flagged fraction from 0.80 (5 docs) to 1.00 (4 docs), delta +0.20."
0.03,INE004C01028/2024,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE004C01028/2024 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.03,INE009A01021/2013,4,0.8,3,0.75,-0.050000000000000044,True,"Removing INE009A01021/2013 moves flagged fraction from 0.80 (5 docs) to 0.75 (4 docs), delta -0.05."
0.035,INE002A01018/2018,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002A01018/2018 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.035,INE002L01015/2012,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002L01015/2012 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.035,INE003B01014/2011,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE003B01014/2011 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.035,INE004C01028/2024,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE004C01028/2024 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.035,INE009A01021/2013,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE009A01021/2013 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.04,INE002A01018/2018,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002A01018/2018 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.04,INE002L01015/2012,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002L01015/2012 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.04,INE003B01014/2011,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE003B01014/2011 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.04,INE004C01028/2024,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE004C01028/2024 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.04,INE009A01021/2013,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE009A01021/2013 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.05,INE002A01018/2018,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002A01018/2018 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.05,INE002L01015/2012,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002L01015/2012 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.05,INE003B01014/2011,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE003B01014/2011 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.05,INE004C01028/2024,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE004C01028/2024 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.05,INE009A01021/2013,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE009A01021/2013 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.06,INE002A01018/2018,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002A01018/2018 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.06,INE002L01015/2012,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE002L01015/2012 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.06,INE003B01014/2011,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE003B01014/2011 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
0.06,INE004C01028/2024,3,0.6,2,0.5,-0.09999999999999998,True,"Removing INE004C01028/2024 moves flagged fraction from 0.60 (5 docs) to 0.50 (4 docs), delta -0.10."
0.06,INE009A01021/2013,3,0.6,3,0.75,0.15000000000000002,False,"Removing INE009A01021/2013 moves flagged fraction from 0.60 (5 docs) to 0.75 (4 docs), delta +0.15."
