document_id,company_id,company,FY,physical_page,source_pdf_sha256,page_width,page_height,raster_image_count,largest_raster_area_fraction,total_raster_area_fraction,full_page_raster,dominant_raster_image,native_text_present,estimated_dpi_width,estimated_dpi_height,estimated_dpi,dpi_status,skew_angle,skew_status,skew_method,skew_confidence,contrast,contrast_status,contrast_method,noise_speckle,noise_status,noise_method,blur,blur_status,blur_method,scan_quality,scan_quality_rule_version,measurement_status,analysis_resolution,preprocessing_version,provenance,reason_codes,image_index,image_xref,image_bbox
INE001B01026_2012,INE001B01026,KRBL Limited,2012,1,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_134_idx_1,True,300.23,437.92,300.23,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,134,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,2,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_163_idx_2,True,300.23,437.92,300.23,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,163,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,3,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_134_idx_1,True,300.23,437.92,300.23,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,134,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,4,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_163_idx_2,True,300.23,437.92,300.23,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,163,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,5,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.8948,0.95,True,xref_181_idx_0,True,95.97,95.94,95.94,measured,,low_confidence,projection_profile_variance_v1,0.006,0.6431,measured,interdecile_p95_p05_v1,0.0028,measured,median3x3_residual_v1,382.41,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,0,181,"19.8,21.0,650.8,830.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,6,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.8812,0.95,True,xref_206_idx_0,True,95.94,95.94,95.94,measured,,low_confidence,projection_profile_variance_v1,0.041,0.5961,measured,interdecile_p95_p05_v1,0.0019,measured,median3x3_residual_v1,358.59,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,0,206,"21.0,21.0,642.4,830.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,7,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,0,0.0,0.0,False,,True,,,,not_applicable,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,,,
INE001B01026_2012,INE001B01026,KRBL Limited,2012,8,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,8,0.9243,0.975,True,,True,183.15,95.91,95.91,measured,-0.4,measured,projection_profile_variance_v1,0.186,0.502,measured,interdecile_p95_p05_v1,0.0017,measured,median3x3_residual_v1,434.21,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,1,0,"20.0,20.0,671.0,830.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,9,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,6,0.9239,0.975,True,,True,183.23,95.91,95.91,measured,,low_confidence,projection_profile_variance_v1,0.119,0.3529,measured,interdecile_p95_p05_v1,0.0056,measured,median3x3_residual_v1,1225.38,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,1,0,"0.0,20.0,650.7,830.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,10,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,6,0.8931,0.95,True,xref_335_idx_2,True,95.92,95.94,95.92,measured,,low_confidence,projection_profile_variance_v1,0.127,0.2941,measured,interdecile_p95_p05_v1,0.0051,measured,median3x3_residual_v1,1389.45,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,2,335,"21.0,21.0,650.8,830.8"
