company_id,n_losses
INE003F01015,16
INE007A01025,15
INE008A01015,15
INE004E01016,15
INE002E01010,15
INE002L01015,14
INE002S01010,14
INE119A01028,14
INE00E101023,14
INE00FF01025,14
INE00LO01017,14
INE00WC01027,14
INE001F01019,14
INE004C01028,14
INE004Z01011,14
INE226A01021,13
INE003B01014,13
INE171A01029,12
INE191H01014,12
INE192B01031,12
INE006C01015,12
INE002B01016,12
INE002A01018,11
INE009A01021,11
INE040A01034,11
INE044A01036,11
INE797F01020,11
INE001B01026,11
INE001O01029,11
INE081A01020,10
INE154A01025,10
INE006I01046,10
INE151A01013,10
INE761H01022,10
INE482A01020,10
INE005E01013,10
