observation_id,company_id,company_name,FY,expected,discovered,downloaded,identity_verified,mda_located,accepted,first_failed_stage,first_failed_reason_code,secondary_reason_codes,authoritative_artifact_id,authoritative_artifact_sha256,discovery_source_ids,discovery_source_types,era,cap_band,exchange,universe_rule_version,era_definition_version,cap_band_definition_version,exchange_definition_version,data_cutoff_timestamp,terminal_state
INE002A01018::FY2010,INE002A01018,Reliance Industries Limited,2010,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,ee4e209f1f|fbc9e6dc63,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2011,INE002A01018,Reliance Industries Limited,2011,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,966e5dc3e7|e338382bf3,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2012,INE002A01018,Reliance Industries Limited,2012,True,True,True,True,True,True,,,,7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a,7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a,2d202a0fdf|356e3b4a0d,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE002A01018::FY2013,INE002A01018,Reliance Industries Limited,2013,True,True,True,True,True,True,,,,39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,39aedaf233|cc2c9a16d8|da0c1dfea3,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE002A01018::FY2014,INE002A01018,Reliance Industries Limited,2014,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,234b7be283|d4e595b46c,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2015,INE002A01018,Reliance Industries Limited,2015,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,0aecf7b5ae|283f11a2a0,bse|nse|screener,E3_CompaniesAct2013_FY2015,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2016,INE002A01018,Reliance Industries Limited,2016,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,9b4e6d113c|ca2afaa8a8,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2017,INE002A01018,Reliance Industries Limited,2017,True,True,True,True,True,True,,,,a92ec874a698232e567b718ac71f406995a2ea89b7ad39d14810efc75b4d7248,a92ec874a698232e567b718ac71f406995a2ea89b7ad39d14810efc75b4d7248,084de03ae8|cb82a98420,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE002A01018::FY2018,INE002A01018,Reliance Industries Limited,2018,True,True,True,True,True,False,ACCEPTANCE,source_shredded,span_truncated,3c12799b657541213f47910b4326952652cdc6ee53ec593e8a959f933e2ae0f3,3c12799b657541213f47910b4326952652cdc6ee53ec593e8a959f933e2ae0f3,939101af57|97e710050f,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_ACCEPTANCE
INE002A01018::FY2019,INE002A01018,Reliance Industries Limited,2019,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,3bd4268f31|ecb09a73bb,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
