sha256,company_id,cin,fy_end,doc_kind,cap_band,exchange,total_pages,path
54115ccf3bf53dec4626c618a136125eeee2815941427982d677cae7b89baf23,INE040A01034,,2012,digital,large,both,164,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\54\11\54115ccf3bf53dec4626c618a136125eeee2815941427982d677cae7b89baf23.pdf
616ed821eb51e80de32cfad964e6a1451187fac8ccff7e6813361c549a70f7ce,INE154A01025,,2013,digital,large,both,238,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\61\6e\616ed821eb51e80de32cfad964e6a1451187fac8ccff7e6813361c549a70f7ce.pdf
dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4,INE081A01020,,2012,digital,large,both,252,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\dc\0e\dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4.pdf
ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0,INE044A01036,,2013,digital,large,both,132,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ed\03\ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0.pdf
6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9,INE009A01021,,2011,digital,large,both,214,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\63\11\6311804bbf48c551eb0ccba89ca372a8cbd10ff6f2f54862b529a8a2552245e9.pdf
7b7beda2e37b28d73a39a4250118c8ab04894fd7440a6abb6de203aede9eb576,INE009A01021,,2012,digital,large,both,110,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\7b\7b\7b7beda2e37b28d73a39a4250118c8ab04894fd7440a6abb6de203aede9eb576.pdf
3e58ef4edf7239d3fe4e101d7f5a6eebec2d31e6190f7032d58b0ded3e3dffec,INE081A01020,,2013,digital,large,both,228,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\3e\58\3e58ef4edf7239d3fe4e101d7f5a6eebec2d31e6190f7032d58b0ded3e3dffec.pdf
39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,INE002A01018,,2013,digital,large,both,228,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\39\f0\39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd.pdf
7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a,INE002A01018,,2012,digital,large,both,220,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\7d\5e\7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a.pdf
71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149,INE044A01036,,2012,mixed,large,both,128,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\71\a1\71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149.pdf
ac5529d7cf0757abfc755cf6a93e56b5e2379b82384ede37590b3854428ebbc5,INE154A01025,,2012,mixed,large,both,212,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\ac\55\ac5529d7cf0757abfc755cf6a93e56b5e2379b82384ede37590b3854428ebbc5.pdf
fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6,INE040A01034,,2013,mixed,large,both,180,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\fc\82\fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6.pdf
b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76,INE213A01029,,2013,mixed,large,both,147,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\b8\0d\b80d764cd5c41c8fbc377fd7541d0cdfd3e53130482317f2e84bd49271552c76.pdf
80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d,INE467B01029,,2010,mixed,large,both,187,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\80\cc\80ccfbc21011deedd4aefaece72db7f1f18df2ddca8232ca9603da0cd630fc0d.pdf
c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c,INE522F01014,,2012,scanned,large,both,234,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\c9\f6\c9f69c2dd47a384f3ac694e295c2f25a91e95f37de96c82a344831ba6ff0666c.pdf
a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178,INE009A01021,,2013,scanned,large,both,159,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\a6\25\a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178.pdf
e21553df4c21f11c35ecbc9ae0fdbb7891057bcf2c93a874d06438c7448e3901,INE226A01021,,2013,digital,mid,both,136,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\e2\15\e21553df4c21f11c35ecbc9ae0fdbb7891057bcf2c93a874d06438c7448e3901.pdf
37a21f8e4f7cc3c811a2a8b270b75a1ed60ac4b210e9fc9d0aabcde7eb78ecab,INE151A01013,,2013,digital,mid,both,158,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\37\a2\37a21f8e4f7cc3c811a2a8b270b75a1ed60ac4b210e9fc9d0aabcde7eb78ecab.pdf
c2e25d3bba43d69f4e34577ff37ca249b44da3937d60ed947642692b6418790c,INE006I01046,,2013,digital,mid,both,112,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\c2\e2\c2e25d3bba43d69f4e34577ff37ca249b44da3937d60ed947642692b6418790c.pdf
b8939a3dff730b9112d76029ab17c09f2646e41ce40fd4c503cbc7dcc73393a7,INE797F01020,,2012,digital,mid,both,103,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\b8\93\b8939a3dff730b9112d76029ab17c09f2646e41ce40fd4c503cbc7dcc73393a7.pdf
d79a05fd419ea504728658a5dbba78ea5ca806a67115c27e41548555eadb4b06,INE226A01021,,2012,digital,mid,both,116,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\d7\9a\d79a05fd419ea504728658a5dbba78ea5ca806a67115c27e41548555eadb4b06.pdf
08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70,INE114A01011,,2011,digital,mid,both,128,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\08\c7\08c7f73f5bc4e6a9b8ae5429e12fa18abfba25ff95ea5d5d1849482ed75e9e70.pdf
29b68699a9c265cc5df77a46b11d0e1507ac272c86b9db8c480351b314134ad0,INE151A01013,,2012,digital,mid,both,149,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\29\b6\29b68699a9c265cc5df77a46b11d0e1507ac272c86b9db8c480351b314134ad0.pdf
b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d,INE257A01026,,2012,mixed,mid,both,284,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\arpipe\p11_store\blobs\b5\a2\b5a2f02942595027f7e3c07ab96ce3aa2385cad97a0e0024d91275b603a8ae9d.pdf
4c64fbf7aec3f61bfa8e421e8e642ea4b52d0af92e2083e9c58ab39d867fd51b,INE007A01025,,2012,mixed,mid,both,164,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\4c\64\4c64fbf7aec3f61bfa8e421e8e642ea4b52d0af92e2083e9c58ab39d867fd51b.pdf
3fadc2ee4bc3a2e6afe0c81cc5110982b27324e5fd1ffa5a5e36dfd2efa1442a,INE761H01022,,2012,mixed,mid,both,76,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\3f\ad\3fadc2ee4bc3a2e6afe0c81cc5110982b27324e5fd1ffa5a5e36dfd2efa1442a.pdf
e3aa3b9f3bad935331d44fa9942bda156f3f7bc98c04427117bfd86ae89306fb,INE797F01020,,2013,mixed,mid,both,109,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\e3\aa\e3aa3b9f3bad935331d44fa9942bda156f3f7bc98c04427117bfd86ae89306fb.pdf
5d2774e84efc03637c72202dc28782e0178c2f36162b424f2c6a4e147a3e63f4,INE002L01015,,2013,mixed,mid,both,52,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\5d\27\5d2774e84efc03637c72202dc28782e0178c2f36162b424f2c6a4e147a3e63f4.pdf
e75eb3c9e6a3a73f18f96a2906419a4221c8e9406c713ca976cc82306110de45,INE761H01022,,2013,mixed,mid,both,84,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\e7\5e\e75eb3c9e6a3a73f18f96a2906419a4221c8e9406c713ca976cc82306110de45.pdf
4d7094047ffdcd917b71c6ede5941a036328a3d10cd2f8a03beb2bc517565166,INE006I01046,,2012,mixed,mid,both,104,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\4d\70\4d7094047ffdcd917b71c6ede5941a036328a3d10cd2f8a03beb2bc517565166.pdf
419ba79d4446909585bb873d122982ec626bab8417ea7ee877d5a93e1beb4ffc,INE007A01025,,2013,mixed,mid,both,188,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\41\9b\419ba79d4446909585bb873d122982ec626bab8417ea7ee877d5a93e1beb4ffc.pdf
6b4f799f452c9c8bccfe514aec03cc440aaaf164880f92dedd309e9d89963062,INE171A01029,,2013,mixed,mid,both,192,D:\sem_iitk\sem9\thesis\sep_week1\arpipe-0.1.0\live_store\blobs\6b\4f\6b4f799f452c9c8bccfe514aec03cc440aaaf164880f92dedd309e9d89963062.pdf
